ProductCertificationKey,CertificationCode,ComplianceStandardKey,RecordStatusKey,CertificationName,CertificationDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
176,PC000176,11,4,Ion ProductCertification 176,ProductCertification starter record 176,Riley Khan,2020-06-25,2021-06-25,1,1,1,2026-08-24T00:00:00.000
177,PC000177,16,3,Keystone ProductCertification 177,ProductCertification starter record 177,Finley Chen,2020-06-26,2021-06-26,1,1,1,2026-08-24T00:00:00.000
178,PC000178,7,3,Keystone ProductCertification 178,ProductCertification starter record 178,Harper Hughes,2020-06-27,2021-06-27,1,1,1,2026-08-24T00:00:00.000
179,PC000179,15,3,Junction ProductCertification 179,ProductCertification starter record 179,Casey Evans,2020-06-28,2021-06-28,1,1,1,2026-08-24T00:00:00.000
180,PC000180,17,4,Liberty ProductCertification 180,ProductCertification starter record 180,Blair Martin,2020-06-29,2021-06-29,0,1,1,2026-08-24T00:00:00.000
181,PC000181,6,2,Beacon ProductCertification 181,ProductCertification starter record 181,Morgan Martin,2020-06-30,2021-06-30,1,1,1,2026-08-24T00:00:00.000
182,PC000182,14,4,Ion ProductCertification 182,ProductCertification starter record 182,Emerson Singh,2020-07-01,2021-07-01,1,1,1,2026-08-24T00:00:00.000
183,PC000183,10,1,Quartz ProductCertification 183,ProductCertification starter record 183,Riley Patel,2020-07-02,2021-07-02,1,1,1,2026-08-24T00:00:00.000
184,PC000184,21,2,Unity ProductCertification 184,ProductCertification starter record 184,Devon Hughes,2020-07-03,2021-07-03,1,1,1,2026-08-24T00:00:00.000
185,PC000185,22,2,Liberty ProductCertification 185,ProductCertification starter record 185,Jordan Singh,2020-07-04,2021-07-04,0,1,1,2026-08-24T00:00:00.000
186,PC000186,4,4,Junction ProductCertification 186,ProductCertification starter record 186,Riley Chen,2020-07-05,2021-07-05,1,1,1,2026-08-24T00:00:00.000
187,PC000187,9,2,Zenith ProductCertification 187,ProductCertification starter record 187,Blair Martin,2020-07-06,2021-07-06,1,1,1,2026-08-24T00:00:00.000
188,PC000188,20,1,Cedar ProductCertification 188,ProductCertification starter record 188,Blair Singh,2020-07-07,2021-07-07,1,1,1,2026-08-24T00:00:00.000
189,PC000189,7,1,Riverton ProductCertification 189,ProductCertification starter record 189,Devon Martin,2020-07-08,2021-07-08,1,1,1,2026-08-24T00:00:00.000
190,PC000190,5,2,Unity ProductCertification 190,ProductCertification starter record 190,Quinn Diaz,2020-07-09,2021-07-09,0,1,1,2026-08-24T00:00:00.000
191,PC000191,21,2,Evergreen ProductCertification 191,ProductCertification starter record 191,Harper Chen,2020-07-10,2021-07-10,1,1,1,2026-08-24T00:00:00.000
192,PC000192,23,3,Liberty ProductCertification 192,ProductCertification starter record 192,Blair Evans,2020-07-11,2021-07-11,1,1,1,2026-08-24T00:00:00.000
193,PC000193,7,1,Orion ProductCertification 193,ProductCertification starter record 193,Alex Martin,2020-07-12,2021-07-12,1,1,1,2026-08-24T00:00:00.000
194,PC000194,23,2,Keystone ProductCertification 194,ProductCertification starter record 194,Quinn Bennett,2020-07-13,2021-07-13,1,1,1,2026-08-24T00:00:00.000
195,PC000195,16,4,Northstar ProductCertification 195,ProductCertification starter record 195,Casey Evans,2020-07-14,2021-07-14,0,1,1,2026-08-24T00:00:00.000
196,PC000196,25,2,Northstar ProductCertification 196,ProductCertification starter record 196,Quinn Singh,2020-07-15,2021-07-15,1,1,1,2026-08-24T00:00:00.000
197,PC000197,22,4,Vertex ProductCertification 197,ProductCertification starter record 197,Emerson Adams,2020-07-16,2021-07-16,1,1,1,2026-08-24T00:00:00.000
198,PC000198,19,4,Harbor ProductCertification 198,ProductCertification starter record 198,Casey Khan,2020-07-17,2021-07-17,1,1,1,2026-08-24T00:00:00.000
199,PC000199,13,1,Zenith ProductCertification 199,ProductCertification starter record 199,Quinn Evans,2020-07-18,2021-07-18,1,1,1,2026-08-24T00:00:00.000
200,PC000200,19,4,Evergreen ProductCertification 200,ProductCertification starter record 200,Finley Chen,2020-07-19,2021-07-19,0,1,1,2026-08-24T00:00:00.000
201,PC000201,11,1,Forge ProductCertification 201,ProductCertification starter record 201,Casey Garcia,2020-07-20,2021-07-20,1,1,1,2026-08-24T00:00:00.000
202,PC000202,11,1,Orion ProductCertification 202,ProductCertification starter record 202,Harper Chen,2020-07-21,2021-07-21,1,1,1,2026-08-24T00:00:00.000
203,PC000203,13,1,Granite ProductCertification 203,ProductCertification starter record 203,Quinn Singh,2020-07-22,2021-07-22,1,1,1,2026-08-24T00:00:00.000
204,PC000204,3,3,Junction ProductCertification 204,ProductCertification starter record 204,Morgan Patel,2020-07-23,2021-07-23,1,1,1,2026-08-24T00:00:00.000
205,PC000205,6,1,Pioneer ProductCertification 205,ProductCertification starter record 205,Jordan Patel,2020-07-24,2021-07-24,0,1,1,2026-08-24T00:00:00.000
206,PC000206,9,1,Ion ProductCertification 206,ProductCertification starter record 206,Taylor Patel,2020-07-25,2021-07-25,1,1,1,2026-08-24T00:00:00.000
207,PC000207,16,1,Summit ProductCertification 207,ProductCertification starter record 207,Riley Reed,2020-07-26,2021-07-26,1,1,1,2026-08-24T00:00:00.000
208,PC000208,23,2,Delta ProductCertification 208,ProductCertification starter record 208,Morgan Singh,2020-07-27,2021-07-27,1,1,1,2026-08-24T00:00:00.000
209,PC000209,14,3,Zenith ProductCertification 209,ProductCertification starter record 209,Emerson Patel,2020-07-28,2021-07-28,1,1,1,2026-08-24T00:00:00.000
210,PC000210,7,3,Keystone ProductCertification 210,ProductCertification starter record 210,Devon Martin,2020-07-29,2021-07-29,0,1,1,2026-08-24T00:00:00.000
211,PC000211,9,1,Liberty ProductCertification 211,ProductCertification starter record 211,Blair Garcia,2020-07-30,2021-07-30,1,1,1,2026-08-24T00:00:00.000
212,PC000212,16,2,Zenith ProductCertification 212,ProductCertification starter record 212,Alex Patel,2020-07-31,2021-07-31,1,1,1,2026-08-24T00:00:00.000
213,PC000213,9,3,Titan ProductCertification 213,ProductCertification starter record 213,Harper Evans,2020-08-01,2021-08-01,1,1,1,2026-08-24T00:00:00.000
214,PC000214,12,1,Quartz ProductCertification 214,ProductCertification starter record 214,Alex Adams,2020-08-02,2021-08-02,1,1,1,2026-08-24T00:00:00.000
215,PC000215,19,3,Keystone ProductCertification 215,ProductCertification starter record 215,Emerson Adams,2020-08-03,2021-08-03,0,1,1,2026-08-24T00:00:00.000
216,PC000216,5,4,Willow ProductCertification 216,ProductCertification starter record 216,Casey Chen,2020-08-04,2021-08-04,1,1,1,2026-08-24T00:00:00.000
217,PC000217,10,1,Beacon ProductCertification 217,ProductCertification starter record 217,Harper Evans,2020-08-05,2021-08-05,1,1,1,2026-08-24T00:00:00.000
218,PC000218,23,3,Riverton ProductCertification 218,ProductCertification starter record 218,Blair Chen,2020-08-06,2021-08-06,1,1,1,2026-08-24T00:00:00.000
219,PC000219,7,2,Forge ProductCertification 219,ProductCertification starter record 219,Jordan Singh,2020-08-07,2021-08-07,1,1,1,2026-08-24T00:00:00.000
220,PC000220,7,1,Summit ProductCertification 220,ProductCertification starter record 220,Devon Hughes,2020-08-08,2021-08-08,0,1,1,2026-08-24T00:00:00.000
221,PC000221,8,1,Riverton ProductCertification 221,ProductCertification starter record 221,Taylor Martin,2020-08-09,2021-08-09,1,1,1,2026-08-24T00:00:00.000
222,PC000222,16,4,Keystone ProductCertification 222,ProductCertification starter record 222,Emerson Diaz,2020-08-10,2021-08-10,1,1,1,2026-08-24T00:00:00.000
223,PC000223,6,1,Delta ProductCertification 223,ProductCertification starter record 223,Finley Reed,2020-08-11,2021-08-11,1,1,1,2026-08-24T00:00:00.000
224,PC000224,17,3,Willow ProductCertification 224,ProductCertification starter record 224,Blair Reed,2020-08-12,2021-08-12,1,1,1,2026-08-24T00:00:00.000
225,PC000225,21,2,Delta ProductCertification 225,ProductCertification starter record 225,Riley Chen,2020-08-13,2021-08-13,0,1,1,2026-08-24T00:00:00.000
226,PC000226,10,4,Granite ProductCertification 226,ProductCertification starter record 226,Riley Patel,2020-08-14,2021-08-14,1,1,1,2026-08-24T00:00:00.000
227,PC000227,1,3,Liberty ProductCertification 227,ProductCertification starter record 227,Taylor Diaz,2020-08-15,2021-08-15,1,1,1,2026-08-24T00:00:00.000
228,PC000228,13,2,Willow ProductCertification 228,ProductCertification starter record 228,Morgan Khan,2020-08-16,2021-08-16,1,1,1,2026-08-24T00:00:00.000
229,PC000229,4,1,Beacon ProductCertification 229,ProductCertification starter record 229,Riley Bennett,2020-08-17,2021-08-17,1,1,1,2026-08-24T00:00:00.000
230,PC000230,24,3,Zenith ProductCertification 230,ProductCertification starter record 230,Quinn Khan,2020-08-18,2021-08-18,0,1,1,2026-08-24T00:00:00.000
231,PC000231,6,2,Riverton ProductCertification 231,ProductCertification starter record 231,Morgan Martin,2020-08-19,2021-08-19,1,1,1,2026-08-24T00:00:00.000
232,PC000232,13,4,Beacon ProductCertification 232,ProductCertification starter record 232,Morgan Khan,2020-08-20,2021-08-20,1,1,1,2026-08-24T00:00:00.000
233,PC000233,19,4,Pioneer ProductCertification 233,ProductCertification starter record 233,Casey Evans,2020-08-21,2021-08-21,1,1,1,2026-08-24T00:00:00.000
234,PC000234,9,3,Quartz ProductCertification 234,ProductCertification starter record 234,Finley Singh,2020-08-22,2021-08-22,1,1,1,2026-08-24T00:00:00.000
235,PC000235,23,4,Zenith ProductCertification 235,ProductCertification starter record 235,Quinn Adams,2020-08-23,2021-08-23,0,1,1,2026-08-24T00:00:00.000
236,PC000236,10,4,Liberty ProductCertification 236,ProductCertification starter record 236,Alex Singh,2020-08-24,2021-08-24,1,1,1,2026-08-24T00:00:00.000
237,PC000237,9,4,Cedar ProductCertification 237,ProductCertification starter record 237,Harper Hughes,2020-08-25,2021-08-25,1,1,1,2026-08-24T00:00:00.000
238,PC000238,12,3,Granite ProductCertification 238,ProductCertification starter record 238,Riley Khan,2020-08-26,2021-08-26,1,1,1,2026-08-24T00:00:00.000
239,PC000239,11,3,Liberty ProductCertification 239,ProductCertification starter record 239,Blair Patel,2020-08-27,2021-08-27,1,1,1,2026-08-24T00:00:00.000
240,PC000240,6,4,Titan ProductCertification 240,ProductCertification starter record 240,Riley Evans,2020-08-28,2021-08-28,0,1,1,2026-08-24T00:00:00.000
241,PC000241,10,4,Pioneer ProductCertification 241,ProductCertification starter record 241,Morgan Evans,2020-08-29,2021-08-29,1,1,1,2026-08-24T00:00:00.000
242,PC000242,5,4,Granite ProductCertification 242,ProductCertification starter record 242,Emerson Hughes,2020-08-30,2021-08-30,1,1,1,2026-08-24T00:00:00.000
243,PC000243,15,3,Meridian ProductCertification 243,ProductCertification starter record 243,Casey Reed,2020-08-31,2021-08-31,1,1,1,2026-08-24T00:00:00.000
244,PC000244,18,3,Pioneer ProductCertification 244,ProductCertification starter record 244,Devon Chen,2020-09-01,2021-09-01,1,1,1,2026-08-24T00:00:00.000
245,PC000245,14,2,Pioneer ProductCertification 245,ProductCertification starter record 245,Taylor Hughes,2020-09-02,2021-09-02,0,1,1,2026-08-24T00:00:00.000
246,PC000246,14,4,Titan ProductCertification 246,ProductCertification starter record 246,Quinn Chen,2020-09-03,2021-09-03,1,1,1,2026-08-24T00:00:00.000
247,PC000247,8,1,Atlas ProductCertification 247,ProductCertification starter record 247,Harper Patel,2020-09-04,2021-09-04,1,1,1,2026-08-24T00:00:00.000
248,PC000248,24,3,Atlas ProductCertification 248,ProductCertification starter record 248,Alex Hughes,2020-09-05,2021-09-05,1,1,1,2026-08-24T00:00:00.000
249,PC000249,13,4,Granite ProductCertification 249,ProductCertification starter record 249,Jordan Garcia,2020-09-06,2021-09-06,1,1,1,2026-08-24T00:00:00.000
250,PC000250,5,2,Willow ProductCertification 250,ProductCertification starter record 250,Taylor Evans,2020-09-07,2021-09-07,0,1,1,2026-08-24T00:00:00.000
