WorkCenterCapabilityKey,CapabilityCode,RecordStatusKey,CapabilityName,CapabilityDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
165,WCC000165,1,Ion WorkCenterCapability 165,WorkCenterCapability starter record 165,Finley Evans,2020-06-14,2021-06-14,0,1,1,2026-08-24T00:00:00.000
166,WCC000166,1,Titan WorkCenterCapability 166,WorkCenterCapability starter record 166,Harper Khan,2020-06-15,2021-06-15,1,1,1,2026-08-24T00:00:00.000
167,WCC000167,2,Ion WorkCenterCapability 167,WorkCenterCapability starter record 167,Harper Hughes,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,WCC000168,2,Junction WorkCenterCapability 168,WorkCenterCapability starter record 168,Devon Adams,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,WCC000169,2,Cedar WorkCenterCapability 169,WorkCenterCapability starter record 169,Finley Reed,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,WCC000170,2,Granite WorkCenterCapability 170,WorkCenterCapability starter record 170,Finley Singh,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,WCC000171,1,Delta WorkCenterCapability 171,WorkCenterCapability starter record 171,Morgan Garcia,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,WCC000172,2,Forge WorkCenterCapability 172,WorkCenterCapability starter record 172,Alex Reed,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,WCC000173,1,Evergreen WorkCenterCapability 173,WorkCenterCapability starter record 173,Morgan Evans,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,WCC000174,2,Evergreen WorkCenterCapability 174,WorkCenterCapability starter record 174,Quinn Adams,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,WCC000175,2,Beacon WorkCenterCapability 175,WorkCenterCapability starter record 175,Riley Garcia,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
176,WCC000176,3,Vertex WorkCenterCapability 176,WorkCenterCapability starter record 176,Taylor Chen,2020-06-25,2021-06-25,1,1,1,2026-08-24T00:00:00.000
177,WCC000177,3,Evergreen WorkCenterCapability 177,WorkCenterCapability starter record 177,Finley Evans,2020-06-26,2021-06-26,1,1,1,2026-08-24T00:00:00.000
178,WCC000178,2,Delta WorkCenterCapability 178,WorkCenterCapability starter record 178,Devon Diaz,2020-06-27,2021-06-27,1,1,1,2026-08-24T00:00:00.000
179,WCC000179,3,Cedar WorkCenterCapability 179,WorkCenterCapability starter record 179,Emerson Reed,2020-06-28,2021-06-28,1,1,1,2026-08-24T00:00:00.000
180,WCC000180,3,Riverton WorkCenterCapability 180,WorkCenterCapability starter record 180,Devon Khan,2020-06-29,2021-06-29,0,1,1,2026-08-24T00:00:00.000
181,WCC000181,3,Harbor WorkCenterCapability 181,WorkCenterCapability starter record 181,Finley Reed,2020-06-30,2021-06-30,1,1,1,2026-08-24T00:00:00.000
182,WCC000182,1,Willow WorkCenterCapability 182,WorkCenterCapability starter record 182,Devon Chen,2020-07-01,2021-07-01,1,1,1,2026-08-24T00:00:00.000
183,WCC000183,2,Atlas WorkCenterCapability 183,WorkCenterCapability starter record 183,Taylor Patel,2020-07-02,2021-07-02,1,1,1,2026-08-24T00:00:00.000
184,WCC000184,1,Delta WorkCenterCapability 184,WorkCenterCapability starter record 184,Quinn Khan,2020-07-03,2021-07-03,1,1,1,2026-08-24T00:00:00.000
185,WCC000185,1,Titan WorkCenterCapability 185,WorkCenterCapability starter record 185,Alex Garcia,2020-07-04,2021-07-04,0,1,1,2026-08-24T00:00:00.000
186,WCC000186,4,Keystone WorkCenterCapability 186,WorkCenterCapability starter record 186,Morgan Reed,2020-07-05,2021-07-05,1,1,1,2026-08-24T00:00:00.000
187,WCC000187,2,Junction WorkCenterCapability 187,WorkCenterCapability starter record 187,Emerson Singh,2020-07-06,2021-07-06,1,1,1,2026-08-24T00:00:00.000
188,WCC000188,2,Junction WorkCenterCapability 188,WorkCenterCapability starter record 188,Riley Adams,2020-07-07,2021-07-07,1,1,1,2026-08-24T00:00:00.000
189,WCC000189,4,Riverton WorkCenterCapability 189,WorkCenterCapability starter record 189,Emerson Singh,2020-07-08,2021-07-08,1,1,1,2026-08-24T00:00:00.000
190,WCC000190,1,Granite WorkCenterCapability 190,WorkCenterCapability starter record 190,Jordan Reed,2020-07-09,2021-07-09,0,1,1,2026-08-24T00:00:00.000
191,WCC000191,1,Vertex WorkCenterCapability 191,WorkCenterCapability starter record 191,Devon Garcia,2020-07-10,2021-07-10,1,1,1,2026-08-24T00:00:00.000
192,WCC000192,2,Titan WorkCenterCapability 192,WorkCenterCapability starter record 192,Morgan Evans,2020-07-11,2021-07-11,1,1,1,2026-08-24T00:00:00.000
193,WCC000193,1,Zenith WorkCenterCapability 193,WorkCenterCapability starter record 193,Harper Diaz,2020-07-12,2021-07-12,1,1,1,2026-08-24T00:00:00.000
194,WCC000194,2,Harbor WorkCenterCapability 194,WorkCenterCapability starter record 194,Jordan Martin,2020-07-13,2021-07-13,1,1,1,2026-08-24T00:00:00.000
195,WCC000195,3,Liberty WorkCenterCapability 195,WorkCenterCapability starter record 195,Devon Adams,2020-07-14,2021-07-14,0,1,1,2026-08-24T00:00:00.000
196,WCC000196,1,Junction WorkCenterCapability 196,WorkCenterCapability starter record 196,Jordan Chen,2020-07-15,2021-07-15,1,1,1,2026-08-24T00:00:00.000
197,WCC000197,1,Evergreen WorkCenterCapability 197,WorkCenterCapability starter record 197,Taylor Adams,2020-07-16,2021-07-16,1,1,1,2026-08-24T00:00:00.000
198,WCC000198,3,Ion WorkCenterCapability 198,WorkCenterCapability starter record 198,Jordan Singh,2020-07-17,2021-07-17,1,1,1,2026-08-24T00:00:00.000
199,WCC000199,2,Northstar WorkCenterCapability 199,WorkCenterCapability starter record 199,Casey Evans,2020-07-18,2021-07-18,1,1,1,2026-08-24T00:00:00.000
200,WCC000200,1,Northstar WorkCenterCapability 200,WorkCenterCapability starter record 200,Alex Bennett,2020-07-19,2021-07-19,0,1,1,2026-08-24T00:00:00.000
201,WCC000201,4,Evergreen WorkCenterCapability 201,WorkCenterCapability starter record 201,Quinn Diaz,2020-07-20,2021-07-20,1,1,1,2026-08-24T00:00:00.000
202,WCC000202,4,Summit WorkCenterCapability 202,WorkCenterCapability starter record 202,Jordan Reed,2020-07-21,2021-07-21,1,1,1,2026-08-24T00:00:00.000
203,WCC000203,4,Forge WorkCenterCapability 203,WorkCenterCapability starter record 203,Harper Singh,2020-07-22,2021-07-22,1,1,1,2026-08-24T00:00:00.000
204,WCC000204,3,Meridian WorkCenterCapability 204,WorkCenterCapability starter record 204,Jordan Reed,2020-07-23,2021-07-23,1,1,1,2026-08-24T00:00:00.000
205,WCC000205,1,Liberty WorkCenterCapability 205,WorkCenterCapability starter record 205,Harper Martin,2020-07-24,2021-07-24,0,1,1,2026-08-24T00:00:00.000
206,WCC000206,3,Summit WorkCenterCapability 206,WorkCenterCapability starter record 206,Casey Khan,2020-07-25,2021-07-25,1,1,1,2026-08-24T00:00:00.000
207,WCC000207,3,Willow WorkCenterCapability 207,WorkCenterCapability starter record 207,Blair Martin,2020-07-26,2021-07-26,1,1,1,2026-08-24T00:00:00.000
208,WCC000208,3,Atlas WorkCenterCapability 208,WorkCenterCapability starter record 208,Devon Reed,2020-07-27,2021-07-27,1,1,1,2026-08-24T00:00:00.000
209,WCC000209,3,Unity WorkCenterCapability 209,WorkCenterCapability starter record 209,Blair Patel,2020-07-28,2021-07-28,1,1,1,2026-08-24T00:00:00.000
210,WCC000210,4,Northstar WorkCenterCapability 210,WorkCenterCapability starter record 210,Devon Hughes,2020-07-29,2021-07-29,0,1,1,2026-08-24T00:00:00.000
211,WCC000211,2,Meridian WorkCenterCapability 211,WorkCenterCapability starter record 211,Harper Diaz,2020-07-30,2021-07-30,1,1,1,2026-08-24T00:00:00.000
212,WCC000212,4,Unity WorkCenterCapability 212,WorkCenterCapability starter record 212,Harper Chen,2020-07-31,2021-07-31,1,1,1,2026-08-24T00:00:00.000
213,WCC000213,2,Keystone WorkCenterCapability 213,WorkCenterCapability starter record 213,Jordan Martin,2020-08-01,2021-08-01,1,1,1,2026-08-24T00:00:00.000
214,WCC000214,3,Delta WorkCenterCapability 214,WorkCenterCapability starter record 214,Alex Diaz,2020-08-02,2021-08-02,1,1,1,2026-08-24T00:00:00.000
215,WCC000215,2,Harbor WorkCenterCapability 215,WorkCenterCapability starter record 215,Devon Hughes,2020-08-03,2021-08-03,0,1,1,2026-08-24T00:00:00.000
216,WCC000216,4,Unity WorkCenterCapability 216,WorkCenterCapability starter record 216,Jordan Adams,2020-08-04,2021-08-04,1,1,1,2026-08-24T00:00:00.000
217,WCC000217,2,Vertex WorkCenterCapability 217,WorkCenterCapability starter record 217,Blair Hughes,2020-08-05,2021-08-05,1,1,1,2026-08-24T00:00:00.000
218,WCC000218,1,Granite WorkCenterCapability 218,WorkCenterCapability starter record 218,Blair Khan,2020-08-06,2021-08-06,1,1,1,2026-08-24T00:00:00.000
219,WCC000219,3,Riverton WorkCenterCapability 219,WorkCenterCapability starter record 219,Quinn Garcia,2020-08-07,2021-08-07,1,1,1,2026-08-24T00:00:00.000
220,WCC000220,2,Willow WorkCenterCapability 220,WorkCenterCapability starter record 220,Emerson Diaz,2020-08-08,2021-08-08,0,1,1,2026-08-24T00:00:00.000
221,WCC000221,3,Granite WorkCenterCapability 221,WorkCenterCapability starter record 221,Jordan Evans,2020-08-09,2021-08-09,1,1,1,2026-08-24T00:00:00.000
222,WCC000222,2,Atlas WorkCenterCapability 222,WorkCenterCapability starter record 222,Blair Diaz,2020-08-10,2021-08-10,1,1,1,2026-08-24T00:00:00.000
223,WCC000223,3,Delta WorkCenterCapability 223,WorkCenterCapability starter record 223,Riley Diaz,2020-08-11,2021-08-11,1,1,1,2026-08-24T00:00:00.000
224,WCC000224,2,Meridian WorkCenterCapability 224,WorkCenterCapability starter record 224,Quinn Diaz,2020-08-12,2021-08-12,1,1,1,2026-08-24T00:00:00.000
225,WCC000225,1,Northstar WorkCenterCapability 225,WorkCenterCapability starter record 225,Emerson Chen,2020-08-13,2021-08-13,0,1,1,2026-08-24T00:00:00.000
226,WCC000226,2,Unity WorkCenterCapability 226,WorkCenterCapability starter record 226,Devon Chen,2020-08-14,2021-08-14,1,1,1,2026-08-24T00:00:00.000
227,WCC000227,1,Ion WorkCenterCapability 227,WorkCenterCapability starter record 227,Jordan Diaz,2020-08-15,2021-08-15,1,1,1,2026-08-24T00:00:00.000
228,WCC000228,3,Beacon WorkCenterCapability 228,WorkCenterCapability starter record 228,Finley Chen,2020-08-16,2021-08-16,1,1,1,2026-08-24T00:00:00.000
229,WCC000229,2,Summit WorkCenterCapability 229,WorkCenterCapability starter record 229,Harper Adams,2020-08-17,2021-08-17,1,1,1,2026-08-24T00:00:00.000
230,WCC000230,1,Vertex WorkCenterCapability 230,WorkCenterCapability starter record 230,Riley Hughes,2020-08-18,2021-08-18,0,1,1,2026-08-24T00:00:00.000
231,WCC000231,1,Meridian WorkCenterCapability 231,WorkCenterCapability starter record 231,Finley Adams,2020-08-19,2021-08-19,1,1,1,2026-08-24T00:00:00.000
232,WCC000232,2,Quartz WorkCenterCapability 232,WorkCenterCapability starter record 232,Emerson Martin,2020-08-20,2021-08-20,1,1,1,2026-08-24T00:00:00.000
233,WCC000233,2,Zenith WorkCenterCapability 233,WorkCenterCapability starter record 233,Devon Hughes,2020-08-21,2021-08-21,1,1,1,2026-08-24T00:00:00.000
234,WCC000234,4,Orion WorkCenterCapability 234,WorkCenterCapability starter record 234,Quinn Hughes,2020-08-22,2021-08-22,1,1,1,2026-08-24T00:00:00.000
235,WCC000235,3,Liberty WorkCenterCapability 235,WorkCenterCapability starter record 235,Taylor Diaz,2020-08-23,2021-08-23,0,1,1,2026-08-24T00:00:00.000
236,WCC000236,3,Titan WorkCenterCapability 236,WorkCenterCapability starter record 236,Taylor Diaz,2020-08-24,2021-08-24,1,1,1,2026-08-24T00:00:00.000
237,WCC000237,3,Pioneer WorkCenterCapability 237,WorkCenterCapability starter record 237,Casey Martin,2020-08-25,2021-08-25,1,1,1,2026-08-24T00:00:00.000
238,WCC000238,2,Cedar WorkCenterCapability 238,WorkCenterCapability starter record 238,Harper Chen,2020-08-26,2021-08-26,1,1,1,2026-08-24T00:00:00.000
239,WCC000239,4,Pioneer WorkCenterCapability 239,WorkCenterCapability starter record 239,Harper Diaz,2020-08-27,2021-08-27,1,1,1,2026-08-24T00:00:00.000
240,WCC000240,3,Evergreen WorkCenterCapability 240,WorkCenterCapability starter record 240,Jordan Garcia,2020-08-28,2021-08-28,0,1,1,2026-08-24T00:00:00.000
241,WCC000241,4,Quartz WorkCenterCapability 241,WorkCenterCapability starter record 241,Finley Martin,2020-08-29,2021-08-29,1,1,1,2026-08-24T00:00:00.000
242,WCC000242,4,Unity WorkCenterCapability 242,WorkCenterCapability starter record 242,Harper Evans,2020-08-30,2021-08-30,1,1,1,2026-08-24T00:00:00.000
243,WCC000243,1,Beacon WorkCenterCapability 243,WorkCenterCapability starter record 243,Morgan Singh,2020-08-31,2021-08-31,1,1,1,2026-08-24T00:00:00.000
244,WCC000244,1,Quartz WorkCenterCapability 244,WorkCenterCapability starter record 244,Riley Bennett,2020-09-01,2021-09-01,1,1,1,2026-08-24T00:00:00.000
245,WCC000245,4,Unity WorkCenterCapability 245,WorkCenterCapability starter record 245,Casey Garcia,2020-09-02,2021-09-02,0,1,1,2026-08-24T00:00:00.000
246,WCC000246,3,Ion WorkCenterCapability 246,WorkCenterCapability starter record 246,Finley Hughes,2020-09-03,2021-09-03,1,1,1,2026-08-24T00:00:00.000
247,WCC000247,4,Forge WorkCenterCapability 247,WorkCenterCapability starter record 247,Finley Adams,2020-09-04,2021-09-04,1,1,1,2026-08-24T00:00:00.000
248,WCC000248,3,Delta WorkCenterCapability 248,WorkCenterCapability starter record 248,Quinn Patel,2020-09-05,2021-09-05,1,1,1,2026-08-24T00:00:00.000
249,WCC000249,1,Harbor WorkCenterCapability 249,WorkCenterCapability starter record 249,Blair Patel,2020-09-06,2021-09-06,1,1,1,2026-08-24T00:00:00.000
250,WCC000250,3,Meridian WorkCenterCapability 250,WorkCenterCapability starter record 250,Blair Martin,2020-09-07,2021-09-07,0,1,1,2026-08-24T00:00:00.000
251,WCC000251,2,Riverton WorkCenterCapability 251,WorkCenterCapability starter record 251,Jordan Garcia,2020-09-08,2021-09-08,1,1,1,2026-08-24T00:00:00.000
252,WCC000252,2,Zenith WorkCenterCapability 252,WorkCenterCapability starter record 252,Alex Evans,2020-09-09,2021-09-09,1,1,1,2026-08-24T00:00:00.000
253,WCC000253,4,Granite WorkCenterCapability 253,WorkCenterCapability starter record 253,Devon Adams,2020-09-10,2021-09-10,1,1,1,2026-08-24T00:00:00.000
254,WCC000254,3,Junction WorkCenterCapability 254,WorkCenterCapability starter record 254,Casey Chen,2020-09-11,2021-09-11,1,1,1,2026-08-24T00:00:00.000
255,WCC000255,1,Zenith WorkCenterCapability 255,WorkCenterCapability starter record 255,Harper Adams,2020-09-12,2021-09-12,0,1,1,2026-08-24T00:00:00.000
256,WCC000256,4,Atlas WorkCenterCapability 256,WorkCenterCapability starter record 256,Blair Diaz,2020-09-13,2021-09-13,1,1,1,2026-08-24T00:00:00.000
257,WCC000257,4,Delta WorkCenterCapability 257,WorkCenterCapability starter record 257,Emerson Khan,2020-09-14,2021-09-14,1,1,1,2026-08-24T00:00:00.000
258,WCC000258,3,Liberty WorkCenterCapability 258,WorkCenterCapability starter record 258,Jordan Chen,2020-09-15,2021-09-15,1,1,1,2026-08-24T00:00:00.000
259,WCC000259,2,Delta WorkCenterCapability 259,WorkCenterCapability starter record 259,Devon Diaz,2020-09-16,2021-09-16,1,1,1,2026-08-24T00:00:00.000
260,WCC000260,3,Zenith WorkCenterCapability 260,WorkCenterCapability starter record 260,Taylor Bennett,2020-09-17,2021-09-17,0,1,1,2026-08-24T00:00:00.000
261,WCC000261,2,Evergreen WorkCenterCapability 261,WorkCenterCapability starter record 261,Blair Evans,2020-09-18,2021-09-18,1,1,1,2026-08-24T00:00:00.000
262,WCC000262,2,Cedar WorkCenterCapability 262,WorkCenterCapability starter record 262,Casey Bennett,2020-09-19,2021-09-19,1,1,1,2026-08-24T00:00:00.000
263,WCC000263,3,Junction WorkCenterCapability 263,WorkCenterCapability starter record 263,Casey Singh,2020-09-20,2021-09-20,1,1,1,2026-08-24T00:00:00.000
264,WCC000264,2,Riverton WorkCenterCapability 264,WorkCenterCapability starter record 264,Harper Garcia,2020-09-21,2021-09-21,1,1,1,2026-08-24T00:00:00.000
265,WCC000265,1,Summit WorkCenterCapability 265,WorkCenterCapability starter record 265,Riley Hughes,2020-09-22,2021-09-22,0,1,1,2026-08-24T00:00:00.000
266,WCC000266,3,Quartz WorkCenterCapability 266,WorkCenterCapability starter record 266,Morgan Khan,2020-09-23,2021-09-23,1,1,1,2026-08-24T00:00:00.000
267,WCC000267,1,Ion WorkCenterCapability 267,WorkCenterCapability starter record 267,Alex Martin,2020-09-24,2021-09-24,1,1,1,2026-08-24T00:00:00.000
268,WCC000268,4,Liberty WorkCenterCapability 268,WorkCenterCapability starter record 268,Emerson Singh,2020-09-25,2021-09-25,1,1,1,2026-08-24T00:00:00.000
269,WCC000269,3,Ion WorkCenterCapability 269,WorkCenterCapability starter record 269,Riley Patel,2020-09-26,2021-09-26,1,1,1,2026-08-24T00:00:00.000
270,WCC000270,3,Pioneer WorkCenterCapability 270,WorkCenterCapability starter record 270,Casey Adams,2020-09-27,2021-09-27,0,1,1,2026-08-24T00:00:00.000
271,WCC000271,1,Unity WorkCenterCapability 271,WorkCenterCapability starter record 271,Morgan Patel,2020-09-28,2021-09-28,1,1,1,2026-08-24T00:00:00.000
272,WCC000272,3,Summit WorkCenterCapability 272,WorkCenterCapability starter record 272,Morgan Garcia,2020-09-29,2021-09-29,1,1,1,2026-08-24T00:00:00.000
273,WCC000273,2,Harbor WorkCenterCapability 273,WorkCenterCapability starter record 273,Morgan Garcia,2020-09-30,2021-09-30,1,1,1,2026-08-24T00:00:00.000
274,WCC000274,1,Keystone WorkCenterCapability 274,WorkCenterCapability starter record 274,Finley Garcia,2020-10-01,2021-10-01,1,1,1,2026-08-24T00:00:00.000
275,WCC000275,1,Harbor WorkCenterCapability 275,WorkCenterCapability starter record 275,Jordan Diaz,2020-10-02,2021-10-02,0,1,1,2026-08-24T00:00:00.000
276,WCC000276,3,Liberty WorkCenterCapability 276,WorkCenterCapability starter record 276,Quinn Singh,2020-10-03,2021-10-03,1,1,1,2026-08-24T00:00:00.000
277,WCC000277,1,Junction WorkCenterCapability 277,WorkCenterCapability starter record 277,Alex Diaz,2020-10-04,2021-10-04,1,1,1,2026-08-24T00:00:00.000
278,WCC000278,3,Keystone WorkCenterCapability 278,WorkCenterCapability starter record 278,Jordan Adams,2020-10-05,2021-10-05,1,1,1,2026-08-24T00:00:00.000
279,WCC000279,3,Atlas WorkCenterCapability 279,WorkCenterCapability starter record 279,Taylor Reed,2020-10-06,2021-10-06,1,1,1,2026-08-24T00:00:00.000
280,WCC000280,3,Zenith WorkCenterCapability 280,WorkCenterCapability starter record 280,Jordan Patel,2020-10-07,2021-10-07,0,1,1,2026-08-24T00:00:00.000
281,WCC000281,3,Orion WorkCenterCapability 281,WorkCenterCapability starter record 281,Jordan Evans,2020-10-08,2021-10-08,1,1,1,2026-08-24T00:00:00.000
282,WCC000282,3,Liberty WorkCenterCapability 282,WorkCenterCapability starter record 282,Devon Diaz,2020-10-09,2021-10-09,1,1,1,2026-08-24T00:00:00.000
283,WCC000283,2,Pioneer WorkCenterCapability 283,WorkCenterCapability starter record 283,Quinn Martin,2020-10-10,2021-10-10,1,1,1,2026-08-24T00:00:00.000
284,WCC000284,1,Pioneer WorkCenterCapability 284,WorkCenterCapability starter record 284,Casey Diaz,2020-10-11,2021-10-11,1,1,1,2026-08-24T00:00:00.000
285,WCC000285,1,Summit WorkCenterCapability 285,WorkCenterCapability starter record 285,Blair Bennett,2020-10-12,2021-10-12,0,1,1,2026-08-24T00:00:00.000
286,WCC000286,2,Summit WorkCenterCapability 286,WorkCenterCapability starter record 286,Alex Chen,2020-10-13,2021-10-13,1,1,1,2026-08-24T00:00:00.000
287,WCC000287,2,Meridian WorkCenterCapability 287,WorkCenterCapability starter record 287,Riley Hughes,2020-10-14,2021-10-14,1,1,1,2026-08-24T00:00:00.000
288,WCC000288,3,Delta WorkCenterCapability 288,WorkCenterCapability starter record 288,Harper Evans,2020-10-15,2021-10-15,1,1,1,2026-08-24T00:00:00.000
289,WCC000289,1,Delta WorkCenterCapability 289,WorkCenterCapability starter record 289,Jordan Evans,2020-10-16,2021-10-16,1,1,1,2026-08-24T00:00:00.000
290,WCC000290,4,Vertex WorkCenterCapability 290,WorkCenterCapability starter record 290,Harper Reed,2020-10-17,2021-10-17,0,1,1,2026-08-24T00:00:00.000
291,WCC000291,2,Meridian WorkCenterCapability 291,WorkCenterCapability starter record 291,Blair Reed,2020-10-18,2021-10-18,1,1,1,2026-08-24T00:00:00.000
292,WCC000292,2,Quartz WorkCenterCapability 292,WorkCenterCapability starter record 292,Taylor Adams,2020-10-19,2021-10-19,1,1,1,2026-08-24T00:00:00.000
293,WCC000293,4,Orion WorkCenterCapability 293,WorkCenterCapability starter record 293,Alex Patel,2020-10-20,2021-10-20,1,1,1,2026-08-24T00:00:00.000
294,WCC000294,2,Meridian WorkCenterCapability 294,WorkCenterCapability starter record 294,Emerson Bennett,2020-10-21,2021-10-21,1,1,1,2026-08-24T00:00:00.000
295,WCC000295,4,Keystone WorkCenterCapability 295,WorkCenterCapability starter record 295,Emerson Adams,2020-10-22,2021-10-22,0,1,1,2026-08-24T00:00:00.000
296,WCC000296,2,Summit WorkCenterCapability 296,WorkCenterCapability starter record 296,Blair Reed,2020-10-23,2021-10-23,1,1,1,2026-08-24T00:00:00.000
297,WCC000297,1,Quartz WorkCenterCapability 297,WorkCenterCapability starter record 297,Finley Singh,2020-10-24,2021-10-24,1,1,1,2026-08-24T00:00:00.000
298,WCC000298,2,Riverton WorkCenterCapability 298,WorkCenterCapability starter record 298,Finley Evans,2020-10-25,2021-10-25,1,1,1,2026-08-24T00:00:00.000
299,WCC000299,3,Summit WorkCenterCapability 299,WorkCenterCapability starter record 299,Riley Bennett,2020-10-26,2021-10-26,1,1,1,2026-08-24T00:00:00.000
300,WCC000300,4,Zenith WorkCenterCapability 300,WorkCenterCapability starter record 300,Casey Reed,2020-10-27,2021-10-27,0,1,1,2026-08-24T00:00:00.000
301,WCC000301,4,Evergreen WorkCenterCapability 301,WorkCenterCapability starter record 301,Blair Bennett,2020-10-28,2021-10-28,1,1,1,2026-08-24T00:00:00.000
302,WCC000302,2,Keystone WorkCenterCapability 302,WorkCenterCapability starter record 302,Taylor Chen,2020-10-29,2021-10-29,1,1,1,2026-08-24T00:00:00.000
303,WCC000303,2,Meridian WorkCenterCapability 303,WorkCenterCapability starter record 303,Taylor Singh,2020-10-30,2021-10-30,1,1,1,2026-08-24T00:00:00.000
304,WCC000304,3,Vertex WorkCenterCapability 304,WorkCenterCapability starter record 304,Quinn Patel,2020-10-31,2021-10-31,1,1,1,2026-08-24T00:00:00.000
305,WCC000305,2,Quartz WorkCenterCapability 305,WorkCenterCapability starter record 305,Alex Garcia,2020-11-01,2021-11-01,0,1,1,2026-08-24T00:00:00.000
306,WCC000306,4,Quartz WorkCenterCapability 306,WorkCenterCapability starter record 306,Taylor Bennett,2020-11-02,2021-11-02,1,1,1,2026-08-24T00:00:00.000
307,WCC000307,2,Forge WorkCenterCapability 307,WorkCenterCapability starter record 307,Finley Bennett,2020-11-03,2021-11-03,1,1,1,2026-08-24T00:00:00.000
308,WCC000308,1,Willow WorkCenterCapability 308,WorkCenterCapability starter record 308,Quinn Diaz,2020-11-04,2021-11-04,1,1,1,2026-08-24T00:00:00.000
309,WCC000309,1,Liberty WorkCenterCapability 309,WorkCenterCapability starter record 309,Riley Hughes,2020-11-05,2021-11-05,1,1,1,2026-08-24T00:00:00.000
310,WCC000310,3,Harbor WorkCenterCapability 310,WorkCenterCapability starter record 310,Harper Patel,2020-11-06,2021-11-06,0,1,1,2026-08-24T00:00:00.000
311,WCC000311,4,Willow WorkCenterCapability 311,WorkCenterCapability starter record 311,Alex Reed,2020-11-07,2021-11-07,1,1,1,2026-08-24T00:00:00.000
312,WCC000312,4,Northstar WorkCenterCapability 312,WorkCenterCapability starter record 312,Morgan Evans,2020-11-08,2021-11-08,1,1,1,2026-08-24T00:00:00.000
313,WCC000313,2,Quartz WorkCenterCapability 313,WorkCenterCapability starter record 313,Emerson Chen,2020-11-09,2021-11-09,1,1,1,2026-08-24T00:00:00.000
314,WCC000314,1,Cedar WorkCenterCapability 314,WorkCenterCapability starter record 314,Devon Singh,2020-11-10,2021-11-10,1,1,1,2026-08-24T00:00:00.000
315,WCC000315,3,Willow WorkCenterCapability 315,WorkCenterCapability starter record 315,Quinn Martin,2020-11-11,2021-11-11,0,1,1,2026-08-24T00:00:00.000
316,WCC000316,2,Delta WorkCenterCapability 316,WorkCenterCapability starter record 316,Emerson Patel,2020-11-12,2021-11-12,1,1,1,2026-08-24T00:00:00.000
317,WCC000317,2,Zenith WorkCenterCapability 317,WorkCenterCapability starter record 317,Riley Bennett,2020-11-13,2021-11-13,1,1,1,2026-08-24T00:00:00.000
318,WCC000318,4,Keystone WorkCenterCapability 318,WorkCenterCapability starter record 318,Finley Diaz,2020-11-14,2021-11-14,1,1,1,2026-08-24T00:00:00.000
319,WCC000319,4,Liberty WorkCenterCapability 319,WorkCenterCapability starter record 319,Jordan Evans,2020-11-15,2021-11-15,1,1,1,2026-08-24T00:00:00.000
320,WCC000320,1,Atlas WorkCenterCapability 320,WorkCenterCapability starter record 320,Blair Patel,2020-11-16,2021-11-16,0,1,1,2026-08-24T00:00:00.000
321,WCC000321,3,Ion WorkCenterCapability 321,WorkCenterCapability starter record 321,Casey Garcia,2020-11-17,2021-11-17,1,1,1,2026-08-24T00:00:00.000
322,WCC000322,3,Keystone WorkCenterCapability 322,WorkCenterCapability starter record 322,Alex Adams,2020-11-18,2021-11-18,1,1,1,2026-08-24T00:00:00.000
323,WCC000323,4,Vertex WorkCenterCapability 323,WorkCenterCapability starter record 323,Morgan Adams,2020-11-19,2021-11-19,1,1,1,2026-08-24T00:00:00.000
324,WCC000324,4,Willow WorkCenterCapability 324,WorkCenterCapability starter record 324,Finley Evans,2020-11-20,2021-11-20,1,1,1,2026-08-24T00:00:00.000
325,WCC000325,4,Willow WorkCenterCapability 325,WorkCenterCapability starter record 325,Emerson Garcia,2020-11-21,2021-11-21,0,1,1,2026-08-24T00:00:00.000
326,WCC000326,2,Titan WorkCenterCapability 326,WorkCenterCapability starter record 326,Finley Khan,2020-11-22,2021-11-22,1,1,1,2026-08-24T00:00:00.000
327,WCC000327,2,Harbor WorkCenterCapability 327,WorkCenterCapability starter record 327,Quinn Reed,2020-11-23,2021-11-23,1,1,1,2026-08-24T00:00:00.000
328,WCC000328,4,Titan WorkCenterCapability 328,WorkCenterCapability starter record 328,Harper Martin,2020-11-24,2021-11-24,1,1,1,2026-08-24T00:00:00.000
329,WCC000329,1,Junction WorkCenterCapability 329,WorkCenterCapability starter record 329,Taylor Bennett,2020-11-25,2021-11-25,1,1,1,2026-08-24T00:00:00.000
330,WCC000330,3,Zenith WorkCenterCapability 330,WorkCenterCapability starter record 330,Casey Chen,2020-11-26,2021-11-26,0,1,1,2026-08-24T00:00:00.000
