AssetManufacturerKey,ManufacturerCode,CountryKey,RecordStatusKey,ManufacturerName,ManufacturerDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
167,AM000167,185,4,Delta AssetManufacturer 167,AssetManufacturer starter record 167,Morgan Garcia,2020-06-16,2021-06-16,1,1,1,2026-08-24T00:00:00.000
168,AM000168,210,3,Quartz AssetManufacturer 168,AssetManufacturer starter record 168,Harper Chen,2020-06-17,2021-06-17,1,1,1,2026-08-24T00:00:00.000
169,AM000169,133,1,Summit AssetManufacturer 169,AssetManufacturer starter record 169,Alex Khan,2020-06-18,2021-06-18,1,1,1,2026-08-24T00:00:00.000
170,AM000170,144,2,Pioneer AssetManufacturer 170,AssetManufacturer starter record 170,Jordan Garcia,2020-06-19,2021-06-19,0,1,1,2026-08-24T00:00:00.000
171,AM000171,89,2,Quartz AssetManufacturer 171,AssetManufacturer starter record 171,Harper Garcia,2020-06-20,2021-06-20,1,1,1,2026-08-24T00:00:00.000
172,AM000172,131,3,Keystone AssetManufacturer 172,AssetManufacturer starter record 172,Emerson Adams,2020-06-21,2021-06-21,1,1,1,2026-08-24T00:00:00.000
173,AM000173,56,3,Ion AssetManufacturer 173,AssetManufacturer starter record 173,Quinn Diaz,2020-06-22,2021-06-22,1,1,1,2026-08-24T00:00:00.000
174,AM000174,92,1,Delta AssetManufacturer 174,AssetManufacturer starter record 174,Riley Martin,2020-06-23,2021-06-23,1,1,1,2026-08-24T00:00:00.000
175,AM000175,107,2,Junction AssetManufacturer 175,AssetManufacturer starter record 175,Harper Evans,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
176,AM000176,48,1,Orion AssetManufacturer 176,AssetManufacturer starter record 176,Alex Chen,2020-06-25,2021-06-25,1,1,1,2026-08-24T00:00:00.000
177,AM000177,110,3,Quartz AssetManufacturer 177,AssetManufacturer starter record 177,Jordan Chen,2020-06-26,2021-06-26,1,1,1,2026-08-24T00:00:00.000
178,AM000178,111,2,Northstar AssetManufacturer 178,AssetManufacturer starter record 178,Blair Patel,2020-06-27,2021-06-27,1,1,1,2026-08-24T00:00:00.000
179,AM000179,8,3,Willow AssetManufacturer 179,AssetManufacturer starter record 179,Blair Garcia,2020-06-28,2021-06-28,1,1,1,2026-08-24T00:00:00.000
180,AM000180,12,3,Forge AssetManufacturer 180,AssetManufacturer starter record 180,Quinn Reed,2020-06-29,2021-06-29,0,1,1,2026-08-24T00:00:00.000
181,AM000181,13,1,Harbor AssetManufacturer 181,AssetManufacturer starter record 181,Quinn Singh,2020-06-30,2021-06-30,1,1,1,2026-08-24T00:00:00.000
182,AM000182,143,4,Keystone AssetManufacturer 182,AssetManufacturer starter record 182,Emerson Hughes,2020-07-01,2021-07-01,1,1,1,2026-08-24T00:00:00.000
183,AM000183,174,2,Summit AssetManufacturer 183,AssetManufacturer starter record 183,Taylor Garcia,2020-07-02,2021-07-02,1,1,1,2026-08-24T00:00:00.000
184,AM000184,50,3,Junction AssetManufacturer 184,AssetManufacturer starter record 184,Taylor Chen,2020-07-03,2021-07-03,1,1,1,2026-08-24T00:00:00.000
185,AM000185,190,1,Evergreen AssetManufacturer 185,AssetManufacturer starter record 185,Taylor Chen,2020-07-04,2021-07-04,0,1,1,2026-08-24T00:00:00.000
186,AM000186,166,2,Quartz AssetManufacturer 186,AssetManufacturer starter record 186,Quinn Chen,2020-07-05,2021-07-05,1,1,1,2026-08-24T00:00:00.000
187,AM000187,152,4,Meridian AssetManufacturer 187,AssetManufacturer starter record 187,Jordan Evans,2020-07-06,2021-07-06,1,1,1,2026-08-24T00:00:00.000
188,AM000188,13,4,Granite AssetManufacturer 188,AssetManufacturer starter record 188,Taylor Diaz,2020-07-07,2021-07-07,1,1,1,2026-08-24T00:00:00.000
189,AM000189,153,1,Keystone AssetManufacturer 189,AssetManufacturer starter record 189,Riley Adams,2020-07-08,2021-07-08,1,1,1,2026-08-24T00:00:00.000
190,AM000190,123,3,Granite AssetManufacturer 190,AssetManufacturer starter record 190,Devon Khan,2020-07-09,2021-07-09,0,1,1,2026-08-24T00:00:00.000
191,AM000191,178,4,Evergreen AssetManufacturer 191,AssetManufacturer starter record 191,Morgan Martin,2020-07-10,2021-07-10,1,1,1,2026-08-24T00:00:00.000
192,AM000192,17,4,Willow AssetManufacturer 192,AssetManufacturer starter record 192,Casey Chen,2020-07-11,2021-07-11,1,1,1,2026-08-24T00:00:00.000
193,AM000193,208,2,Keystone AssetManufacturer 193,AssetManufacturer starter record 193,Morgan Adams,2020-07-12,2021-07-12,1,1,1,2026-08-24T00:00:00.000
194,AM000194,231,1,Harbor AssetManufacturer 194,AssetManufacturer starter record 194,Finley Khan,2020-07-13,2021-07-13,1,1,1,2026-08-24T00:00:00.000
195,AM000195,24,1,Junction AssetManufacturer 195,AssetManufacturer starter record 195,Jordan Patel,2020-07-14,2021-07-14,0,1,1,2026-08-24T00:00:00.000
196,AM000196,213,4,Willow AssetManufacturer 196,AssetManufacturer starter record 196,Jordan Patel,2020-07-15,2021-07-15,1,1,1,2026-08-24T00:00:00.000
197,AM000197,66,3,Zenith AssetManufacturer 197,AssetManufacturer starter record 197,Casey Chen,2020-07-16,2021-07-16,1,1,1,2026-08-24T00:00:00.000
198,AM000198,5,1,Liberty AssetManufacturer 198,AssetManufacturer starter record 198,Finley Garcia,2020-07-17,2021-07-17,1,1,1,2026-08-24T00:00:00.000
199,AM000199,120,3,Vertex AssetManufacturer 199,AssetManufacturer starter record 199,Jordan Diaz,2020-07-18,2021-07-18,1,1,1,2026-08-24T00:00:00.000
200,AM000200,37,2,Titan AssetManufacturer 200,AssetManufacturer starter record 200,Blair Singh,2020-07-19,2021-07-19,0,1,1,2026-08-24T00:00:00.000
201,AM000201,222,3,Atlas AssetManufacturer 201,AssetManufacturer starter record 201,Morgan Martin,2020-07-20,2021-07-20,1,1,1,2026-08-24T00:00:00.000
202,AM000202,23,3,Zenith AssetManufacturer 202,AssetManufacturer starter record 202,Finley Chen,2020-07-21,2021-07-21,1,1,1,2026-08-24T00:00:00.000
203,AM000203,71,2,Delta AssetManufacturer 203,AssetManufacturer starter record 203,Riley Chen,2020-07-22,2021-07-22,1,1,1,2026-08-24T00:00:00.000
204,AM000204,209,4,Quartz AssetManufacturer 204,AssetManufacturer starter record 204,Casey Reed,2020-07-23,2021-07-23,1,1,1,2026-08-24T00:00:00.000
205,AM000205,82,3,Forge AssetManufacturer 205,AssetManufacturer starter record 205,Morgan Chen,2020-07-24,2021-07-24,0,1,1,2026-08-24T00:00:00.000
206,AM000206,53,4,Summit AssetManufacturer 206,AssetManufacturer starter record 206,Harper Hughes,2020-07-25,2021-07-25,1,1,1,2026-08-24T00:00:00.000
207,AM000207,184,2,Ion AssetManufacturer 207,AssetManufacturer starter record 207,Quinn Adams,2020-07-26,2021-07-26,1,1,1,2026-08-24T00:00:00.000
208,AM000208,95,4,Junction AssetManufacturer 208,AssetManufacturer starter record 208,Blair Bennett,2020-07-27,2021-07-27,1,1,1,2026-08-24T00:00:00.000
209,AM000209,153,2,Northstar AssetManufacturer 209,AssetManufacturer starter record 209,Devon Singh,2020-07-28,2021-07-28,1,1,1,2026-08-24T00:00:00.000
210,AM000210,150,2,Evergreen AssetManufacturer 210,AssetManufacturer starter record 210,Taylor Bennett,2020-07-29,2021-07-29,0,1,1,2026-08-24T00:00:00.000
211,AM000211,129,3,Cedar AssetManufacturer 211,AssetManufacturer starter record 211,Jordan Garcia,2020-07-30,2021-07-30,1,1,1,2026-08-24T00:00:00.000
212,AM000212,21,3,Quartz AssetManufacturer 212,AssetManufacturer starter record 212,Riley Bennett,2020-07-31,2021-07-31,1,1,1,2026-08-24T00:00:00.000
213,AM000213,66,1,Willow AssetManufacturer 213,AssetManufacturer starter record 213,Emerson Chen,2020-08-01,2021-08-01,1,1,1,2026-08-24T00:00:00.000
214,AM000214,23,1,Cedar AssetManufacturer 214,AssetManufacturer starter record 214,Blair Martin,2020-08-02,2021-08-02,1,1,1,2026-08-24T00:00:00.000
215,AM000215,37,4,Cedar AssetManufacturer 215,AssetManufacturer starter record 215,Finley Adams,2020-08-03,2021-08-03,0,1,1,2026-08-24T00:00:00.000
216,AM000216,238,4,Meridian AssetManufacturer 216,AssetManufacturer starter record 216,Morgan Hughes,2020-08-04,2021-08-04,1,1,1,2026-08-24T00:00:00.000
217,AM000217,12,3,Harbor AssetManufacturer 217,AssetManufacturer starter record 217,Jordan Chen,2020-08-05,2021-08-05,1,1,1,2026-08-24T00:00:00.000
218,AM000218,216,3,Harbor AssetManufacturer 218,AssetManufacturer starter record 218,Morgan Chen,2020-08-06,2021-08-06,1,1,1,2026-08-24T00:00:00.000
219,AM000219,18,4,Beacon AssetManufacturer 219,AssetManufacturer starter record 219,Riley Khan,2020-08-07,2021-08-07,1,1,1,2026-08-24T00:00:00.000
220,AM000220,58,3,Liberty AssetManufacturer 220,AssetManufacturer starter record 220,Riley Garcia,2020-08-08,2021-08-08,0,1,1,2026-08-24T00:00:00.000
221,AM000221,4,4,Junction AssetManufacturer 221,AssetManufacturer starter record 221,Taylor Singh,2020-08-09,2021-08-09,1,1,1,2026-08-24T00:00:00.000
222,AM000222,202,2,Granite AssetManufacturer 222,AssetManufacturer starter record 222,Devon Diaz,2020-08-10,2021-08-10,1,1,1,2026-08-24T00:00:00.000
223,AM000223,112,1,Ion AssetManufacturer 223,AssetManufacturer starter record 223,Taylor Diaz,2020-08-11,2021-08-11,1,1,1,2026-08-24T00:00:00.000
224,AM000224,55,2,Harbor AssetManufacturer 224,AssetManufacturer starter record 224,Finley Evans,2020-08-12,2021-08-12,1,1,1,2026-08-24T00:00:00.000
225,AM000225,197,2,Riverton AssetManufacturer 225,AssetManufacturer starter record 225,Alex Martin,2020-08-13,2021-08-13,0,1,1,2026-08-24T00:00:00.000
226,AM000226,180,2,Pioneer AssetManufacturer 226,AssetManufacturer starter record 226,Blair Khan,2020-08-14,2021-08-14,1,1,1,2026-08-24T00:00:00.000
227,AM000227,217,3,Granite AssetManufacturer 227,AssetManufacturer starter record 227,Riley Diaz,2020-08-15,2021-08-15,1,1,1,2026-08-24T00:00:00.000
228,AM000228,121,3,Summit AssetManufacturer 228,AssetManufacturer starter record 228,Alex Reed,2020-08-16,2021-08-16,1,1,1,2026-08-24T00:00:00.000
229,AM000229,139,3,Zenith AssetManufacturer 229,AssetManufacturer starter record 229,Harper Evans,2020-08-17,2021-08-17,1,1,1,2026-08-24T00:00:00.000
230,AM000230,38,1,Summit AssetManufacturer 230,AssetManufacturer starter record 230,Blair Diaz,2020-08-18,2021-08-18,0,1,1,2026-08-24T00:00:00.000
231,AM000231,184,1,Vertex AssetManufacturer 231,AssetManufacturer starter record 231,Morgan Patel,2020-08-19,2021-08-19,1,1,1,2026-08-24T00:00:00.000
232,AM000232,161,1,Delta AssetManufacturer 232,AssetManufacturer starter record 232,Devon Hughes,2020-08-20,2021-08-20,1,1,1,2026-08-24T00:00:00.000
233,AM000233,120,3,Vertex AssetManufacturer 233,AssetManufacturer starter record 233,Emerson Hughes,2020-08-21,2021-08-21,1,1,1,2026-08-24T00:00:00.000
234,AM000234,147,4,Liberty AssetManufacturer 234,AssetManufacturer starter record 234,Casey Adams,2020-08-22,2021-08-22,1,1,1,2026-08-24T00:00:00.000
235,AM000235,50,4,Summit AssetManufacturer 235,AssetManufacturer starter record 235,Alex Evans,2020-08-23,2021-08-23,0,1,1,2026-08-24T00:00:00.000
236,AM000236,111,2,Riverton AssetManufacturer 236,AssetManufacturer starter record 236,Emerson Adams,2020-08-24,2021-08-24,1,1,1,2026-08-24T00:00:00.000
237,AM000237,211,2,Cedar AssetManufacturer 237,AssetManufacturer starter record 237,Riley Patel,2020-08-25,2021-08-25,1,1,1,2026-08-24T00:00:00.000
238,AM000238,124,4,Vertex AssetManufacturer 238,AssetManufacturer starter record 238,Taylor Diaz,2020-08-26,2021-08-26,1,1,1,2026-08-24T00:00:00.000
239,AM000239,116,4,Pioneer AssetManufacturer 239,AssetManufacturer starter record 239,Blair Evans,2020-08-27,2021-08-27,1,1,1,2026-08-24T00:00:00.000
240,AM000240,151,2,Quartz AssetManufacturer 240,AssetManufacturer starter record 240,Blair Bennett,2020-08-28,2021-08-28,0,1,1,2026-08-24T00:00:00.000
241,AM000241,95,2,Zenith AssetManufacturer 241,AssetManufacturer starter record 241,Morgan Reed,2020-08-29,2021-08-29,1,1,1,2026-08-24T00:00:00.000
242,AM000242,208,4,Summit AssetManufacturer 242,AssetManufacturer starter record 242,Riley Hughes,2020-08-30,2021-08-30,1,1,1,2026-08-24T00:00:00.000
243,AM000243,162,2,Zenith AssetManufacturer 243,AssetManufacturer starter record 243,Finley Martin,2020-08-31,2021-08-31,1,1,1,2026-08-24T00:00:00.000
244,AM000244,153,4,Beacon AssetManufacturer 244,AssetManufacturer starter record 244,Quinn Chen,2020-09-01,2021-09-01,1,1,1,2026-08-24T00:00:00.000
245,AM000245,69,3,Vertex AssetManufacturer 245,AssetManufacturer starter record 245,Blair Chen,2020-09-02,2021-09-02,0,1,1,2026-08-24T00:00:00.000
246,AM000246,133,3,Beacon AssetManufacturer 246,AssetManufacturer starter record 246,Emerson Evans,2020-09-03,2021-09-03,1,1,1,2026-08-24T00:00:00.000
247,AM000247,120,1,Titan AssetManufacturer 247,AssetManufacturer starter record 247,Emerson Reed,2020-09-04,2021-09-04,1,1,1,2026-08-24T00:00:00.000
248,AM000248,125,2,Liberty AssetManufacturer 248,AssetManufacturer starter record 248,Casey Evans,2020-09-05,2021-09-05,1,1,1,2026-08-24T00:00:00.000
249,AM000249,174,3,Riverton AssetManufacturer 249,AssetManufacturer starter record 249,Casey Diaz,2020-09-06,2021-09-06,1,1,1,2026-08-24T00:00:00.000
250,AM000250,28,2,Granite AssetManufacturer 250,AssetManufacturer starter record 250,Jordan Patel,2020-09-07,2021-09-07,0,1,1,2026-08-24T00:00:00.000
251,AM000251,68,1,Granite AssetManufacturer 251,AssetManufacturer starter record 251,Harper Chen,2020-09-08,2021-09-08,1,1,1,2026-08-24T00:00:00.000
252,AM000252,77,3,Meridian AssetManufacturer 252,AssetManufacturer starter record 252,Blair Martin,2020-09-09,2021-09-09,1,1,1,2026-08-24T00:00:00.000
253,AM000253,55,3,Evergreen AssetManufacturer 253,AssetManufacturer starter record 253,Emerson Khan,2020-09-10,2021-09-10,1,1,1,2026-08-24T00:00:00.000
254,AM000254,49,4,Northstar AssetManufacturer 254,AssetManufacturer starter record 254,Devon Martin,2020-09-11,2021-09-11,1,1,1,2026-08-24T00:00:00.000
255,AM000255,100,4,Harbor AssetManufacturer 255,AssetManufacturer starter record 255,Blair Reed,2020-09-12,2021-09-12,0,1,1,2026-08-24T00:00:00.000
256,AM000256,19,2,Junction AssetManufacturer 256,AssetManufacturer starter record 256,Harper Patel,2020-09-13,2021-09-13,1,1,1,2026-08-24T00:00:00.000
257,AM000257,222,4,Harbor AssetManufacturer 257,AssetManufacturer starter record 257,Finley Khan,2020-09-14,2021-09-14,1,1,1,2026-08-24T00:00:00.000
258,AM000258,245,2,Harbor AssetManufacturer 258,AssetManufacturer starter record 258,Quinn Singh,2020-09-15,2021-09-15,1,1,1,2026-08-24T00:00:00.000
259,AM000259,92,2,Granite AssetManufacturer 259,AssetManufacturer starter record 259,Blair Patel,2020-09-16,2021-09-16,1,1,1,2026-08-24T00:00:00.000
260,AM000260,37,2,Junction AssetManufacturer 260,AssetManufacturer starter record 260,Taylor Evans,2020-09-17,2021-09-17,0,1,1,2026-08-24T00:00:00.000
261,AM000261,98,2,Zenith AssetManufacturer 261,AssetManufacturer starter record 261,Riley Khan,2020-09-18,2021-09-18,1,1,1,2026-08-24T00:00:00.000
262,AM000262,13,2,Liberty AssetManufacturer 262,AssetManufacturer starter record 262,Morgan Martin,2020-09-19,2021-09-19,1,1,1,2026-08-24T00:00:00.000
263,AM000263,182,2,Titan AssetManufacturer 263,AssetManufacturer starter record 263,Devon Adams,2020-09-20,2021-09-20,1,1,1,2026-08-24T00:00:00.000
264,AM000264,69,4,Keystone AssetManufacturer 264,AssetManufacturer starter record 264,Emerson Hughes,2020-09-21,2021-09-21,1,1,1,2026-08-24T00:00:00.000
265,AM000265,54,4,Summit AssetManufacturer 265,AssetManufacturer starter record 265,Jordan Garcia,2020-09-22,2021-09-22,0,1,1,2026-08-24T00:00:00.000
266,AM000266,45,1,Vertex AssetManufacturer 266,AssetManufacturer starter record 266,Quinn Khan,2020-09-23,2021-09-23,1,1,1,2026-08-24T00:00:00.000
267,AM000267,132,3,Pioneer AssetManufacturer 267,AssetManufacturer starter record 267,Emerson Evans,2020-09-24,2021-09-24,1,1,1,2026-08-24T00:00:00.000
268,AM000268,235,2,Delta AssetManufacturer 268,AssetManufacturer starter record 268,Riley Adams,2020-09-25,2021-09-25,1,1,1,2026-08-24T00:00:00.000
269,AM000269,171,3,Vertex AssetManufacturer 269,AssetManufacturer starter record 269,Finley Martin,2020-09-26,2021-09-26,1,1,1,2026-08-24T00:00:00.000
270,AM000270,107,2,Zenith AssetManufacturer 270,AssetManufacturer starter record 270,Finley Patel,2020-09-27,2021-09-27,0,1,1,2026-08-24T00:00:00.000
271,AM000271,146,1,Harbor AssetManufacturer 271,AssetManufacturer starter record 271,Emerson Diaz,2020-09-28,2021-09-28,1,1,1,2026-08-24T00:00:00.000
272,AM000272,246,3,Vertex AssetManufacturer 272,AssetManufacturer starter record 272,Finley Khan,2020-09-29,2021-09-29,1,1,1,2026-08-24T00:00:00.000
273,AM000273,215,2,Northstar AssetManufacturer 273,AssetManufacturer starter record 273,Morgan Bennett,2020-09-30,2021-09-30,1,1,1,2026-08-24T00:00:00.000
274,AM000274,108,2,Titan AssetManufacturer 274,AssetManufacturer starter record 274,Morgan Khan,2020-10-01,2021-10-01,1,1,1,2026-08-24T00:00:00.000
275,AM000275,175,2,Zenith AssetManufacturer 275,AssetManufacturer starter record 275,Quinn Hughes,2020-10-02,2021-10-02,0,1,1,2026-08-24T00:00:00.000
276,AM000276,177,4,Willow AssetManufacturer 276,AssetManufacturer starter record 276,Taylor Reed,2020-10-03,2021-10-03,1,1,1,2026-08-24T00:00:00.000
277,AM000277,92,4,Zenith AssetManufacturer 277,AssetManufacturer starter record 277,Casey Singh,2020-10-04,2021-10-04,1,1,1,2026-08-24T00:00:00.000
278,AM000278,89,3,Riverton AssetManufacturer 278,AssetManufacturer starter record 278,Harper Chen,2020-10-05,2021-10-05,1,1,1,2026-08-24T00:00:00.000
279,AM000279,64,1,Granite AssetManufacturer 279,AssetManufacturer starter record 279,Morgan Khan,2020-10-06,2021-10-06,1,1,1,2026-08-24T00:00:00.000
280,AM000280,132,3,Pioneer AssetManufacturer 280,AssetManufacturer starter record 280,Blair Bennett,2020-10-07,2021-10-07,0,1,1,2026-08-24T00:00:00.000
281,AM000281,28,2,Forge AssetManufacturer 281,AssetManufacturer starter record 281,Jordan Reed,2020-10-08,2021-10-08,1,1,1,2026-08-24T00:00:00.000
282,AM000282,11,2,Pioneer AssetManufacturer 282,AssetManufacturer starter record 282,Devon Garcia,2020-10-09,2021-10-09,1,1,1,2026-08-24T00:00:00.000
283,AM000283,33,2,Beacon AssetManufacturer 283,AssetManufacturer starter record 283,Quinn Chen,2020-10-10,2021-10-10,1,1,1,2026-08-24T00:00:00.000
284,AM000284,121,3,Keystone AssetManufacturer 284,AssetManufacturer starter record 284,Alex Diaz,2020-10-11,2021-10-11,1,1,1,2026-08-24T00:00:00.000
285,AM000285,220,4,Beacon AssetManufacturer 285,AssetManufacturer starter record 285,Harper Garcia,2020-10-12,2021-10-12,0,1,1,2026-08-24T00:00:00.000
286,AM000286,47,2,Vertex AssetManufacturer 286,AssetManufacturer starter record 286,Casey Garcia,2020-10-13,2021-10-13,1,1,1,2026-08-24T00:00:00.000
287,AM000287,111,4,Summit AssetManufacturer 287,AssetManufacturer starter record 287,Taylor Hughes,2020-10-14,2021-10-14,1,1,1,2026-08-24T00:00:00.000
288,AM000288,134,3,Quartz AssetManufacturer 288,AssetManufacturer starter record 288,Emerson Khan,2020-10-15,2021-10-15,1,1,1,2026-08-24T00:00:00.000
289,AM000289,53,3,Liberty AssetManufacturer 289,AssetManufacturer starter record 289,Emerson Patel,2020-10-16,2021-10-16,1,1,1,2026-08-24T00:00:00.000
290,AM000290,170,2,Meridian AssetManufacturer 290,AssetManufacturer starter record 290,Casey Evans,2020-10-17,2021-10-17,0,1,1,2026-08-24T00:00:00.000
291,AM000291,150,2,Junction AssetManufacturer 291,AssetManufacturer starter record 291,Alex Khan,2020-10-18,2021-10-18,1,1,1,2026-08-24T00:00:00.000
292,AM000292,11,3,Vertex AssetManufacturer 292,AssetManufacturer starter record 292,Finley Chen,2020-10-19,2021-10-19,1,1,1,2026-08-24T00:00:00.000
293,AM000293,116,1,Delta AssetManufacturer 293,AssetManufacturer starter record 293,Harper Diaz,2020-10-20,2021-10-20,1,1,1,2026-08-24T00:00:00.000
294,AM000294,207,1,Cedar AssetManufacturer 294,AssetManufacturer starter record 294,Harper Chen,2020-10-21,2021-10-21,1,1,1,2026-08-24T00:00:00.000
295,AM000295,82,3,Quartz AssetManufacturer 295,AssetManufacturer starter record 295,Devon Garcia,2020-10-22,2021-10-22,0,1,1,2026-08-24T00:00:00.000
296,AM000296,240,2,Unity AssetManufacturer 296,AssetManufacturer starter record 296,Alex Bennett,2020-10-23,2021-10-23,1,1,1,2026-08-24T00:00:00.000
297,AM000297,6,4,Pioneer AssetManufacturer 297,AssetManufacturer starter record 297,Devon Garcia,2020-10-24,2021-10-24,1,1,1,2026-08-24T00:00:00.000
298,AM000298,162,4,Summit AssetManufacturer 298,AssetManufacturer starter record 298,Finley Patel,2020-10-25,2021-10-25,1,1,1,2026-08-24T00:00:00.000
299,AM000299,154,4,Willow AssetManufacturer 299,AssetManufacturer starter record 299,Alex Diaz,2020-10-26,2021-10-26,1,1,1,2026-08-24T00:00:00.000
300,AM000300,65,3,Quartz AssetManufacturer 300,AssetManufacturer starter record 300,Emerson Evans,2020-10-27,2021-10-27,0,1,1,2026-08-24T00:00:00.000
301,AM000301,197,1,Quartz AssetManufacturer 301,AssetManufacturer starter record 301,Taylor Hughes,2020-10-28,2021-10-28,1,1,1,2026-08-24T00:00:00.000
302,AM000302,195,2,Northstar AssetManufacturer 302,AssetManufacturer starter record 302,Riley Chen,2020-10-29,2021-10-29,1,1,1,2026-08-24T00:00:00.000
303,AM000303,246,1,Vertex AssetManufacturer 303,AssetManufacturer starter record 303,Taylor Martin,2020-10-30,2021-10-30,1,1,1,2026-08-24T00:00:00.000
304,AM000304,209,2,Pioneer AssetManufacturer 304,AssetManufacturer starter record 304,Blair Chen,2020-10-31,2021-10-31,1,1,1,2026-08-24T00:00:00.000
305,AM000305,239,1,Northstar AssetManufacturer 305,AssetManufacturer starter record 305,Alex Adams,2020-11-01,2021-11-01,0,1,1,2026-08-24T00:00:00.000
306,AM000306,53,3,Atlas AssetManufacturer 306,AssetManufacturer starter record 306,Devon Garcia,2020-11-02,2021-11-02,1,1,1,2026-08-24T00:00:00.000
307,AM000307,65,4,Forge AssetManufacturer 307,AssetManufacturer starter record 307,Taylor Bennett,2020-11-03,2021-11-03,1,1,1,2026-08-24T00:00:00.000
308,AM000308,39,1,Pioneer AssetManufacturer 308,AssetManufacturer starter record 308,Morgan Reed,2020-11-04,2021-11-04,1,1,1,2026-08-24T00:00:00.000
309,AM000309,192,3,Granite AssetManufacturer 309,AssetManufacturer starter record 309,Casey Patel,2020-11-05,2021-11-05,1,1,1,2026-08-24T00:00:00.000
310,AM000310,24,1,Beacon AssetManufacturer 310,AssetManufacturer starter record 310,Casey Diaz,2020-11-06,2021-11-06,0,1,1,2026-08-24T00:00:00.000
311,AM000311,46,4,Atlas AssetManufacturer 311,AssetManufacturer starter record 311,Casey Garcia,2020-11-07,2021-11-07,1,1,1,2026-08-24T00:00:00.000
312,AM000312,95,4,Harbor AssetManufacturer 312,AssetManufacturer starter record 312,Casey Evans,2020-11-08,2021-11-08,1,1,1,2026-08-24T00:00:00.000
313,AM000313,167,2,Harbor AssetManufacturer 313,AssetManufacturer starter record 313,Quinn Khan,2020-11-09,2021-11-09,1,1,1,2026-08-24T00:00:00.000
314,AM000314,159,1,Forge AssetManufacturer 314,AssetManufacturer starter record 314,Devon Adams,2020-11-10,2021-11-10,1,1,1,2026-08-24T00:00:00.000
315,AM000315,200,2,Unity AssetManufacturer 315,AssetManufacturer starter record 315,Emerson Chen,2020-11-11,2021-11-11,0,1,1,2026-08-24T00:00:00.000
316,AM000316,52,1,Quartz AssetManufacturer 316,AssetManufacturer starter record 316,Riley Adams,2020-11-12,2021-11-12,1,1,1,2026-08-24T00:00:00.000
317,AM000317,33,2,Vertex AssetManufacturer 317,AssetManufacturer starter record 317,Riley Adams,2020-11-13,2021-11-13,1,1,1,2026-08-24T00:00:00.000
318,AM000318,187,4,Orion AssetManufacturer 318,AssetManufacturer starter record 318,Taylor Martin,2020-11-14,2021-11-14,1,1,1,2026-08-24T00:00:00.000
319,AM000319,15,4,Beacon AssetManufacturer 319,AssetManufacturer starter record 319,Blair Garcia,2020-11-15,2021-11-15,1,1,1,2026-08-24T00:00:00.000
320,AM000320,55,4,Orion AssetManufacturer 320,AssetManufacturer starter record 320,Jordan Evans,2020-11-16,2021-11-16,0,1,1,2026-08-24T00:00:00.000
321,AM000321,4,4,Keystone AssetManufacturer 321,AssetManufacturer starter record 321,Riley Diaz,2020-11-17,2021-11-17,1,1,1,2026-08-24T00:00:00.000
322,AM000322,63,1,Evergreen AssetManufacturer 322,AssetManufacturer starter record 322,Blair Diaz,2020-11-18,2021-11-18,1,1,1,2026-08-24T00:00:00.000
323,AM000323,236,3,Orion AssetManufacturer 323,AssetManufacturer starter record 323,Alex Patel,2020-11-19,2021-11-19,1,1,1,2026-08-24T00:00:00.000
324,AM000324,152,2,Granite AssetManufacturer 324,AssetManufacturer starter record 324,Jordan Bennett,2020-11-20,2021-11-20,1,1,1,2026-08-24T00:00:00.000
325,AM000325,216,3,Titan AssetManufacturer 325,AssetManufacturer starter record 325,Jordan Chen,2020-11-21,2021-11-21,0,1,1,2026-08-24T00:00:00.000
326,AM000326,212,2,Summit AssetManufacturer 326,AssetManufacturer starter record 326,Finley Singh,2020-11-22,2021-11-22,1,1,1,2026-08-24T00:00:00.000
327,AM000327,164,4,Ion AssetManufacturer 327,AssetManufacturer starter record 327,Devon Chen,2020-11-23,2021-11-23,1,1,1,2026-08-24T00:00:00.000
328,AM000328,140,2,Unity AssetManufacturer 328,AssetManufacturer starter record 328,Casey Patel,2020-11-24,2021-11-24,1,1,1,2026-08-24T00:00:00.000
329,AM000329,241,2,Granite AssetManufacturer 329,AssetManufacturer starter record 329,Emerson Bennett,2020-11-25,2021-11-25,1,1,1,2026-08-24T00:00:00.000
330,AM000330,47,2,Northstar AssetManufacturer 330,AssetManufacturer starter record 330,Harper Singh,2020-11-26,2021-11-26,0,1,1,2026-08-24T00:00:00.000
331,AM000331,217,4,Quartz AssetManufacturer 331,AssetManufacturer starter record 331,Casey Patel,2020-11-27,2021-11-27,1,1,1,2026-08-24T00:00:00.000
332,AM000332,113,3,Delta AssetManufacturer 332,AssetManufacturer starter record 332,Harper Singh,2020-11-28,2021-11-28,1,1,1,2026-08-24T00:00:00.000
333,AM000333,242,2,Liberty AssetManufacturer 333,AssetManufacturer starter record 333,Emerson Hughes,2020-11-29,2021-11-29,1,1,1,2026-08-24T00:00:00.000
334,AM000334,60,4,Forge AssetManufacturer 334,AssetManufacturer starter record 334,Riley Reed,2020-11-30,2021-11-30,1,1,1,2026-08-24T00:00:00.000
