AssetModelKey,AssetModelCode,AssetManufacturerKey,UnitOfMeasureKey,RecordStatusKey,AssetModelName,AssetModelDescription,OwnerName,EffectiveStartDate,EffectiveEndDate,IsActive,SourceSystemKey,BatchId,LoadedAtUtc
175,AM000175,432,4,2,Cedar AssetModel 175,AssetModel starter record 175,Casey Chen,2020-06-24,2021-06-24,0,1,1,2026-08-24T00:00:00.000
176,AM000176,488,1,4,Granite AssetModel 176,AssetModel starter record 176,Casey Evans,2020-06-25,2021-06-25,1,1,1,2026-08-24T00:00:00.000
177,AM000177,155,2,2,Beacon AssetModel 177,AssetModel starter record 177,Alex Evans,2020-06-26,2021-06-26,1,1,1,2026-08-24T00:00:00.000
178,AM000178,10,6,4,Granite AssetModel 178,AssetModel starter record 178,Harper Evans,2020-06-27,2021-06-27,1,1,1,2026-08-24T00:00:00.000
179,AM000179,202,2,4,Granite AssetModel 179,AssetModel starter record 179,Emerson Evans,2020-06-28,2021-06-28,1,1,1,2026-08-24T00:00:00.000
180,AM000180,490,5,3,Northstar AssetModel 180,AssetModel starter record 180,Blair Martin,2020-06-29,2021-06-29,0,1,1,2026-08-24T00:00:00.000
181,AM000181,50,7,3,Ion AssetModel 181,AssetModel starter record 181,Emerson Martin,2020-06-30,2021-06-30,1,1,1,2026-08-24T00:00:00.000
182,AM000182,401,7,2,Keystone AssetModel 182,AssetModel starter record 182,Alex Singh,2020-07-01,2021-07-01,1,1,1,2026-08-24T00:00:00.000
183,AM000183,224,3,1,Junction AssetModel 183,AssetModel starter record 183,Morgan Garcia,2020-07-02,2021-07-02,1,1,1,2026-08-24T00:00:00.000
184,AM000184,449,5,1,Harbor AssetModel 184,AssetModel starter record 184,Quinn Hughes,2020-07-03,2021-07-03,1,1,1,2026-08-24T00:00:00.000
185,AM000185,167,7,1,Harbor AssetModel 185,AssetModel starter record 185,Casey Hughes,2020-07-04,2021-07-04,0,1,1,2026-08-24T00:00:00.000
186,AM000186,68,5,3,Delta AssetModel 186,AssetModel starter record 186,Emerson Khan,2020-07-05,2021-07-05,1,1,1,2026-08-24T00:00:00.000
187,AM000187,130,4,3,Beacon AssetModel 187,AssetModel starter record 187,Finley Reed,2020-07-06,2021-07-06,1,1,1,2026-08-24T00:00:00.000
188,AM000188,298,7,2,Delta AssetModel 188,AssetModel starter record 188,Taylor Singh,2020-07-07,2021-07-07,1,1,1,2026-08-24T00:00:00.000
189,AM000189,60,5,1,Harbor AssetModel 189,AssetModel starter record 189,Quinn Patel,2020-07-08,2021-07-08,1,1,1,2026-08-24T00:00:00.000
190,AM000190,111,4,4,Vertex AssetModel 190,AssetModel starter record 190,Blair Patel,2020-07-09,2021-07-09,0,1,1,2026-08-24T00:00:00.000
191,AM000191,491,4,2,Northstar AssetModel 191,AssetModel starter record 191,Emerson Evans,2020-07-10,2021-07-10,1,1,1,2026-08-24T00:00:00.000
192,AM000192,357,2,3,Cedar AssetModel 192,AssetModel starter record 192,Casey Adams,2020-07-11,2021-07-11,1,1,1,2026-08-24T00:00:00.000
193,AM000193,157,5,3,Pioneer AssetModel 193,AssetModel starter record 193,Morgan Hughes,2020-07-12,2021-07-12,1,1,1,2026-08-24T00:00:00.000
194,AM000194,168,5,1,Evergreen AssetModel 194,AssetModel starter record 194,Blair Chen,2020-07-13,2021-07-13,1,1,1,2026-08-24T00:00:00.000
195,AM000195,41,4,3,Forge AssetModel 195,AssetModel starter record 195,Blair Singh,2020-07-14,2021-07-14,0,1,1,2026-08-24T00:00:00.000
196,AM000196,337,1,4,Atlas AssetModel 196,AssetModel starter record 196,Jordan Bennett,2020-07-15,2021-07-15,1,1,1,2026-08-24T00:00:00.000
197,AM000197,403,7,1,Summit AssetModel 197,AssetModel starter record 197,Emerson Garcia,2020-07-16,2021-07-16,1,1,1,2026-08-24T00:00:00.000
198,AM000198,115,1,4,Delta AssetModel 198,AssetModel starter record 198,Morgan Evans,2020-07-17,2021-07-17,1,1,1,2026-08-24T00:00:00.000
199,AM000199,263,1,2,Zenith AssetModel 199,AssetModel starter record 199,Finley Hughes,2020-07-18,2021-07-18,1,1,1,2026-08-24T00:00:00.000
200,AM000200,7,4,2,Forge AssetModel 200,AssetModel starter record 200,Quinn Garcia,2020-07-19,2021-07-19,0,1,1,2026-08-24T00:00:00.000
201,AM000201,256,1,2,Cedar AssetModel 201,AssetModel starter record 201,Riley Khan,2020-07-20,2021-07-20,1,1,1,2026-08-24T00:00:00.000
202,AM000202,202,4,4,Summit AssetModel 202,AssetModel starter record 202,Jordan Evans,2020-07-21,2021-07-21,1,1,1,2026-08-24T00:00:00.000
203,AM000203,228,6,4,Meridian AssetModel 203,AssetModel starter record 203,Quinn Garcia,2020-07-22,2021-07-22,1,1,1,2026-08-24T00:00:00.000
204,AM000204,125,4,3,Ion AssetModel 204,AssetModel starter record 204,Riley Patel,2020-07-23,2021-07-23,1,1,1,2026-08-24T00:00:00.000
205,AM000205,492,3,1,Vertex AssetModel 205,AssetModel starter record 205,Quinn Patel,2020-07-24,2021-07-24,0,1,1,2026-08-24T00:00:00.000
206,AM000206,465,6,4,Pioneer AssetModel 206,AssetModel starter record 206,Harper Hughes,2020-07-25,2021-07-25,1,1,1,2026-08-24T00:00:00.000
207,AM000207,61,6,1,Delta AssetModel 207,AssetModel starter record 207,Emerson Patel,2020-07-26,2021-07-26,1,1,1,2026-08-24T00:00:00.000
208,AM000208,81,6,3,Keystone AssetModel 208,AssetModel starter record 208,Emerson Martin,2020-07-27,2021-07-27,1,1,1,2026-08-24T00:00:00.000
209,AM000209,331,7,1,Junction AssetModel 209,AssetModel starter record 209,Emerson Patel,2020-07-28,2021-07-28,1,1,1,2026-08-24T00:00:00.000
210,AM000210,279,2,4,Evergreen AssetModel 210,AssetModel starter record 210,Devon Hughes,2020-07-29,2021-07-29,0,1,1,2026-08-24T00:00:00.000
211,AM000211,17,1,3,Orion AssetModel 211,AssetModel starter record 211,Finley Chen,2020-07-30,2021-07-30,1,1,1,2026-08-24T00:00:00.000
212,AM000212,313,7,2,Pioneer AssetModel 212,AssetModel starter record 212,Morgan Adams,2020-07-31,2021-07-31,1,1,1,2026-08-24T00:00:00.000
213,AM000213,12,3,3,Titan AssetModel 213,AssetModel starter record 213,Morgan Hughes,2020-08-01,2021-08-01,1,1,1,2026-08-24T00:00:00.000
214,AM000214,490,3,4,Granite AssetModel 214,AssetModel starter record 214,Alex Hughes,2020-08-02,2021-08-02,1,1,1,2026-08-24T00:00:00.000
215,AM000215,80,3,2,Orion AssetModel 215,AssetModel starter record 215,Quinn Adams,2020-08-03,2021-08-03,0,1,1,2026-08-24T00:00:00.000
216,AM000216,181,5,4,Summit AssetModel 216,AssetModel starter record 216,Harper Chen,2020-08-04,2021-08-04,1,1,1,2026-08-24T00:00:00.000
217,AM000217,208,5,2,Pioneer AssetModel 217,AssetModel starter record 217,Casey Khan,2020-08-05,2021-08-05,1,1,1,2026-08-24T00:00:00.000
218,AM000218,111,6,1,Quartz AssetModel 218,AssetModel starter record 218,Quinn Bennett,2020-08-06,2021-08-06,1,1,1,2026-08-24T00:00:00.000
219,AM000219,305,5,3,Delta AssetModel 219,AssetModel starter record 219,Quinn Hughes,2020-08-07,2021-08-07,1,1,1,2026-08-24T00:00:00.000
220,AM000220,489,7,2,Meridian AssetModel 220,AssetModel starter record 220,Riley Bennett,2020-08-08,2021-08-08,0,1,1,2026-08-24T00:00:00.000
221,AM000221,295,1,3,Vertex AssetModel 221,AssetModel starter record 221,Casey Khan,2020-08-09,2021-08-09,1,1,1,2026-08-24T00:00:00.000
222,AM000222,203,3,2,Junction AssetModel 222,AssetModel starter record 222,Finley Bennett,2020-08-10,2021-08-10,1,1,1,2026-08-24T00:00:00.000
223,AM000223,443,7,4,Forge AssetModel 223,AssetModel starter record 223,Jordan Khan,2020-08-11,2021-08-11,1,1,1,2026-08-24T00:00:00.000
224,AM000224,394,3,3,Orion AssetModel 224,AssetModel starter record 224,Morgan Khan,2020-08-12,2021-08-12,1,1,1,2026-08-24T00:00:00.000
225,AM000225,249,2,3,Quartz AssetModel 225,AssetModel starter record 225,Quinn Garcia,2020-08-13,2021-08-13,0,1,1,2026-08-24T00:00:00.000
226,AM000226,3,4,4,Granite AssetModel 226,AssetModel starter record 226,Riley Reed,2020-08-14,2021-08-14,1,1,1,2026-08-24T00:00:00.000
227,AM000227,225,1,2,Zenith AssetModel 227,AssetModel starter record 227,Finley Evans,2020-08-15,2021-08-15,1,1,1,2026-08-24T00:00:00.000
228,AM000228,134,5,2,Pioneer AssetModel 228,AssetModel starter record 228,Alex Hughes,2020-08-16,2021-08-16,1,1,1,2026-08-24T00:00:00.000
229,AM000229,419,7,2,Riverton AssetModel 229,AssetModel starter record 229,Quinn Chen,2020-08-17,2021-08-17,1,1,1,2026-08-24T00:00:00.000
230,AM000230,236,2,3,Vertex AssetModel 230,AssetModel starter record 230,Devon Bennett,2020-08-18,2021-08-18,0,1,1,2026-08-24T00:00:00.000
231,AM000231,381,5,4,Junction AssetModel 231,AssetModel starter record 231,Blair Garcia,2020-08-19,2021-08-19,1,1,1,2026-08-24T00:00:00.000
232,AM000232,408,4,3,Harbor AssetModel 232,AssetModel starter record 232,Jordan Diaz,2020-08-20,2021-08-20,1,1,1,2026-08-24T00:00:00.000
233,AM000233,273,7,2,Beacon AssetModel 233,AssetModel starter record 233,Finley Khan,2020-08-21,2021-08-21,1,1,1,2026-08-24T00:00:00.000
234,AM000234,123,3,3,Vertex AssetModel 234,AssetModel starter record 234,Casey Garcia,2020-08-22,2021-08-22,1,1,1,2026-08-24T00:00:00.000
235,AM000235,346,5,4,Quartz AssetModel 235,AssetModel starter record 235,Alex Bennett,2020-08-23,2021-08-23,0,1,1,2026-08-24T00:00:00.000
236,AM000236,464,4,2,Vertex AssetModel 236,AssetModel starter record 236,Devon Singh,2020-08-24,2021-08-24,1,1,1,2026-08-24T00:00:00.000
237,AM000237,407,3,1,Ion AssetModel 237,AssetModel starter record 237,Harper Khan,2020-08-25,2021-08-25,1,1,1,2026-08-24T00:00:00.000
238,AM000238,39,5,2,Keystone AssetModel 238,AssetModel starter record 238,Devon Evans,2020-08-26,2021-08-26,1,1,1,2026-08-24T00:00:00.000
239,AM000239,499,3,2,Delta AssetModel 239,AssetModel starter record 239,Morgan Garcia,2020-08-27,2021-08-27,1,1,1,2026-08-24T00:00:00.000
240,AM000240,206,6,4,Forge AssetModel 240,AssetModel starter record 240,Blair Khan,2020-08-28,2021-08-28,0,1,1,2026-08-24T00:00:00.000
241,AM000241,265,6,3,Riverton AssetModel 241,AssetModel starter record 241,Riley Singh,2020-08-29,2021-08-29,1,1,1,2026-08-24T00:00:00.000
242,AM000242,397,7,1,Granite AssetModel 242,AssetModel starter record 242,Blair Chen,2020-08-30,2021-08-30,1,1,1,2026-08-24T00:00:00.000
243,AM000243,293,3,4,Beacon AssetModel 243,AssetModel starter record 243,Blair Adams,2020-08-31,2021-08-31,1,1,1,2026-08-24T00:00:00.000
244,AM000244,191,3,4,Delta AssetModel 244,AssetModel starter record 244,Alex Singh,2020-09-01,2021-09-01,1,1,1,2026-08-24T00:00:00.000
245,AM000245,357,5,4,Beacon AssetModel 245,AssetModel starter record 245,Finley Chen,2020-09-02,2021-09-02,0,1,1,2026-08-24T00:00:00.000
246,AM000246,246,2,2,Delta AssetModel 246,AssetModel starter record 246,Jordan Khan,2020-09-03,2021-09-03,1,1,1,2026-08-24T00:00:00.000
247,AM000247,304,7,2,Unity AssetModel 247,AssetModel starter record 247,Blair Adams,2020-09-04,2021-09-04,1,1,1,2026-08-24T00:00:00.000
248,AM000248,187,3,3,Northstar AssetModel 248,AssetModel starter record 248,Casey Diaz,2020-09-05,2021-09-05,1,1,1,2026-08-24T00:00:00.000
249,AM000249,267,3,4,Cedar AssetModel 249,AssetModel starter record 249,Blair Patel,2020-09-06,2021-09-06,1,1,1,2026-08-24T00:00:00.000
250,AM000250,55,4,2,Riverton AssetModel 250,AssetModel starter record 250,Finley Chen,2020-09-07,2021-09-07,0,1,1,2026-08-24T00:00:00.000
251,AM000251,113,2,1,Harbor AssetModel 251,AssetModel starter record 251,Morgan Garcia,2020-09-08,2021-09-08,1,1,1,2026-08-24T00:00:00.000
252,AM000252,55,2,4,Zenith AssetModel 252,AssetModel starter record 252,Emerson Martin,2020-09-09,2021-09-09,1,1,1,2026-08-24T00:00:00.000
253,AM000253,18,5,4,Vertex AssetModel 253,AssetModel starter record 253,Taylor Patel,2020-09-10,2021-09-10,1,1,1,2026-08-24T00:00:00.000
254,AM000254,443,5,4,Summit AssetModel 254,AssetModel starter record 254,Casey Evans,2020-09-11,2021-09-11,1,1,1,2026-08-24T00:00:00.000
255,AM000255,91,1,4,Meridian AssetModel 255,AssetModel starter record 255,Quinn Chen,2020-09-12,2021-09-12,0,1,1,2026-08-24T00:00:00.000
256,AM000256,1,7,4,Granite AssetModel 256,AssetModel starter record 256,Quinn Bennett,2020-09-13,2021-09-13,1,1,1,2026-08-24T00:00:00.000
257,AM000257,277,4,3,Junction AssetModel 257,AssetModel starter record 257,Riley Reed,2020-09-14,2021-09-14,1,1,1,2026-08-24T00:00:00.000
258,AM000258,31,1,2,Titan AssetModel 258,AssetModel starter record 258,Casey Martin,2020-09-15,2021-09-15,1,1,1,2026-08-24T00:00:00.000
259,AM000259,364,1,2,Cedar AssetModel 259,AssetModel starter record 259,Morgan Diaz,2020-09-16,2021-09-16,1,1,1,2026-08-24T00:00:00.000
260,AM000260,470,6,4,Liberty AssetModel 260,AssetModel starter record 260,Blair Garcia,2020-09-17,2021-09-17,0,1,1,2026-08-24T00:00:00.000
261,AM000261,450,1,3,Zenith AssetModel 261,AssetModel starter record 261,Emerson Patel,2020-09-18,2021-09-18,1,1,1,2026-08-24T00:00:00.000
262,AM000262,371,6,3,Meridian AssetModel 262,AssetModel starter record 262,Morgan Chen,2020-09-19,2021-09-19,1,1,1,2026-08-24T00:00:00.000
263,AM000263,457,5,2,Delta AssetModel 263,AssetModel starter record 263,Riley Reed,2020-09-20,2021-09-20,1,1,1,2026-08-24T00:00:00.000
264,AM000264,98,7,2,Summit AssetModel 264,AssetModel starter record 264,Finley Patel,2020-09-21,2021-09-21,1,1,1,2026-08-24T00:00:00.000
265,AM000265,384,4,2,Unity AssetModel 265,AssetModel starter record 265,Riley Evans,2020-09-22,2021-09-22,0,1,1,2026-08-24T00:00:00.000
266,AM000266,313,1,4,Pioneer AssetModel 266,AssetModel starter record 266,Alex Patel,2020-09-23,2021-09-23,1,1,1,2026-08-24T00:00:00.000
267,AM000267,73,2,1,Northstar AssetModel 267,AssetModel starter record 267,Alex Diaz,2020-09-24,2021-09-24,1,1,1,2026-08-24T00:00:00.000
268,AM000268,488,1,1,Evergreen AssetModel 268,AssetModel starter record 268,Alex Patel,2020-09-25,2021-09-25,1,1,1,2026-08-24T00:00:00.000
269,AM000269,238,5,1,Titan AssetModel 269,AssetModel starter record 269,Riley Hughes,2020-09-26,2021-09-26,1,1,1,2026-08-24T00:00:00.000
270,AM000270,430,6,2,Northstar AssetModel 270,AssetModel starter record 270,Taylor Reed,2020-09-27,2021-09-27,0,1,1,2026-08-24T00:00:00.000
271,AM000271,196,4,1,Titan AssetModel 271,AssetModel starter record 271,Taylor Adams,2020-09-28,2021-09-28,1,1,1,2026-08-24T00:00:00.000
272,AM000272,318,5,2,Evergreen AssetModel 272,AssetModel starter record 272,Quinn Chen,2020-09-29,2021-09-29,1,1,1,2026-08-24T00:00:00.000
273,AM000273,261,7,1,Cedar AssetModel 273,AssetModel starter record 273,Quinn Khan,2020-09-30,2021-09-30,1,1,1,2026-08-24T00:00:00.000
274,AM000274,158,6,1,Granite AssetModel 274,AssetModel starter record 274,Harper Bennett,2020-10-01,2021-10-01,1,1,1,2026-08-24T00:00:00.000
275,AM000275,206,5,3,Forge AssetModel 275,AssetModel starter record 275,Devon Garcia,2020-10-02,2021-10-02,0,1,1,2026-08-24T00:00:00.000
276,AM000276,133,3,2,Cedar AssetModel 276,AssetModel starter record 276,Quinn Bennett,2020-10-03,2021-10-03,1,1,1,2026-08-24T00:00:00.000
277,AM000277,295,6,2,Ion AssetModel 277,AssetModel starter record 277,Casey Diaz,2020-10-04,2021-10-04,1,1,1,2026-08-24T00:00:00.000
278,AM000278,57,1,4,Willow AssetModel 278,AssetModel starter record 278,Jordan Evans,2020-10-05,2021-10-05,1,1,1,2026-08-24T00:00:00.000
279,AM000279,322,3,3,Zenith AssetModel 279,AssetModel starter record 279,Riley Chen,2020-10-06,2021-10-06,1,1,1,2026-08-24T00:00:00.000
280,AM000280,284,2,1,Junction AssetModel 280,AssetModel starter record 280,Casey Khan,2020-10-07,2021-10-07,0,1,1,2026-08-24T00:00:00.000
281,AM000281,325,4,2,Liberty AssetModel 281,AssetModel starter record 281,Casey Diaz,2020-10-08,2021-10-08,1,1,1,2026-08-24T00:00:00.000
282,AM000282,305,3,2,Unity AssetModel 282,AssetModel starter record 282,Finley Adams,2020-10-09,2021-10-09,1,1,1,2026-08-24T00:00:00.000
283,AM000283,55,1,2,Vertex AssetModel 283,AssetModel starter record 283,Morgan Reed,2020-10-10,2021-10-10,1,1,1,2026-08-24T00:00:00.000
284,AM000284,458,6,2,Keystone AssetModel 284,AssetModel starter record 284,Casey Patel,2020-10-11,2021-10-11,1,1,1,2026-08-24T00:00:00.000
285,AM000285,181,1,1,Unity AssetModel 285,AssetModel starter record 285,Emerson Evans,2020-10-12,2021-10-12,0,1,1,2026-08-24T00:00:00.000
286,AM000286,12,6,3,Quartz AssetModel 286,AssetModel starter record 286,Harper Martin,2020-10-13,2021-10-13,1,1,1,2026-08-24T00:00:00.000
287,AM000287,102,1,2,Beacon AssetModel 287,AssetModel starter record 287,Harper Adams,2020-10-14,2021-10-14,1,1,1,2026-08-24T00:00:00.000
288,AM000288,198,5,2,Willow AssetModel 288,AssetModel starter record 288,Emerson Reed,2020-10-15,2021-10-15,1,1,1,2026-08-24T00:00:00.000
289,AM000289,127,1,2,Harbor AssetModel 289,AssetModel starter record 289,Casey Chen,2020-10-16,2021-10-16,1,1,1,2026-08-24T00:00:00.000
290,AM000290,260,3,3,Ion AssetModel 290,AssetModel starter record 290,Riley Martin,2020-10-17,2021-10-17,0,1,1,2026-08-24T00:00:00.000
291,AM000291,83,4,1,Vertex AssetModel 291,AssetModel starter record 291,Blair Reed,2020-10-18,2021-10-18,1,1,1,2026-08-24T00:00:00.000
292,AM000292,81,5,1,Vertex AssetModel 292,AssetModel starter record 292,Jordan Patel,2020-10-19,2021-10-19,1,1,1,2026-08-24T00:00:00.000
293,AM000293,491,3,4,Titan AssetModel 293,AssetModel starter record 293,Jordan Reed,2020-10-20,2021-10-20,1,1,1,2026-08-24T00:00:00.000
294,AM000294,264,7,4,Zenith AssetModel 294,AssetModel starter record 294,Emerson Chen,2020-10-21,2021-10-21,1,1,1,2026-08-24T00:00:00.000
295,AM000295,185,1,1,Ion AssetModel 295,AssetModel starter record 295,Jordan Diaz,2020-10-22,2021-10-22,0,1,1,2026-08-24T00:00:00.000
296,AM000296,412,1,3,Willow AssetModel 296,AssetModel starter record 296,Morgan Singh,2020-10-23,2021-10-23,1,1,1,2026-08-24T00:00:00.000
297,AM000297,9,7,2,Summit AssetModel 297,AssetModel starter record 297,Devon Chen,2020-10-24,2021-10-24,1,1,1,2026-08-24T00:00:00.000
298,AM000298,168,4,1,Liberty AssetModel 298,AssetModel starter record 298,Jordan Evans,2020-10-25,2021-10-25,1,1,1,2026-08-24T00:00:00.000
299,AM000299,496,7,4,Pioneer AssetModel 299,AssetModel starter record 299,Jordan Martin,2020-10-26,2021-10-26,1,1,1,2026-08-24T00:00:00.000
300,AM000300,261,2,2,Pioneer AssetModel 300,AssetModel starter record 300,Riley Reed,2020-10-27,2021-10-27,0,1,1,2026-08-24T00:00:00.000
301,AM000301,388,3,4,Northstar AssetModel 301,AssetModel starter record 301,Morgan Patel,2020-10-28,2021-10-28,1,1,1,2026-08-24T00:00:00.000
302,AM000302,215,7,3,Keystone AssetModel 302,AssetModel starter record 302,Morgan Khan,2020-10-29,2021-10-29,1,1,1,2026-08-24T00:00:00.000
303,AM000303,98,4,4,Pioneer AssetModel 303,AssetModel starter record 303,Finley Garcia,2020-10-30,2021-10-30,1,1,1,2026-08-24T00:00:00.000
304,AM000304,402,5,1,Keystone AssetModel 304,AssetModel starter record 304,Riley Khan,2020-10-31,2021-10-31,1,1,1,2026-08-24T00:00:00.000
305,AM000305,46,3,3,Keystone AssetModel 305,AssetModel starter record 305,Jordan Martin,2020-11-01,2021-11-01,0,1,1,2026-08-24T00:00:00.000
306,AM000306,56,2,1,Evergreen AssetModel 306,AssetModel starter record 306,Taylor Evans,2020-11-02,2021-11-02,1,1,1,2026-08-24T00:00:00.000
307,AM000307,310,5,4,Meridian AssetModel 307,AssetModel starter record 307,Finley Singh,2020-11-03,2021-11-03,1,1,1,2026-08-24T00:00:00.000
308,AM000308,15,3,2,Riverton AssetModel 308,AssetModel starter record 308,Blair Adams,2020-11-04,2021-11-04,1,1,1,2026-08-24T00:00:00.000
309,AM000309,469,6,3,Junction AssetModel 309,AssetModel starter record 309,Alex Garcia,2020-11-05,2021-11-05,1,1,1,2026-08-24T00:00:00.000
310,AM000310,107,7,2,Willow AssetModel 310,AssetModel starter record 310,Jordan Martin,2020-11-06,2021-11-06,0,1,1,2026-08-24T00:00:00.000
311,AM000311,10,4,4,Summit AssetModel 311,AssetModel starter record 311,Jordan Evans,2020-11-07,2021-11-07,1,1,1,2026-08-24T00:00:00.000
312,AM000312,392,7,1,Pioneer AssetModel 312,AssetModel starter record 312,Emerson Khan,2020-11-08,2021-11-08,1,1,1,2026-08-24T00:00:00.000
313,AM000313,415,2,2,Quartz AssetModel 313,AssetModel starter record 313,Alex Martin,2020-11-09,2021-11-09,1,1,1,2026-08-24T00:00:00.000
314,AM000314,161,3,4,Riverton AssetModel 314,AssetModel starter record 314,Emerson Patel,2020-11-10,2021-11-10,1,1,1,2026-08-24T00:00:00.000
315,AM000315,18,2,1,Beacon AssetModel 315,AssetModel starter record 315,Jordan Garcia,2020-11-11,2021-11-11,0,1,1,2026-08-24T00:00:00.000
316,AM000316,467,4,1,Zenith AssetModel 316,AssetModel starter record 316,Emerson Adams,2020-11-12,2021-11-12,1,1,1,2026-08-24T00:00:00.000
317,AM000317,232,2,1,Liberty AssetModel 317,AssetModel starter record 317,Blair Diaz,2020-11-13,2021-11-13,1,1,1,2026-08-24T00:00:00.000
318,AM000318,383,3,4,Pioneer AssetModel 318,AssetModel starter record 318,Emerson Singh,2020-11-14,2021-11-14,1,1,1,2026-08-24T00:00:00.000
319,AM000319,399,2,3,Willow AssetModel 319,AssetModel starter record 319,Blair Evans,2020-11-15,2021-11-15,1,1,1,2026-08-24T00:00:00.000
320,AM000320,118,3,3,Junction AssetModel 320,AssetModel starter record 320,Blair Hughes,2020-11-16,2021-11-16,0,1,1,2026-08-24T00:00:00.000
321,AM000321,482,2,2,Titan AssetModel 321,AssetModel starter record 321,Riley Evans,2020-11-17,2021-11-17,1,1,1,2026-08-24T00:00:00.000
322,AM000322,137,2,4,Quartz AssetModel 322,AssetModel starter record 322,Quinn Bennett,2020-11-18,2021-11-18,1,1,1,2026-08-24T00:00:00.000
323,AM000323,390,6,4,Pioneer AssetModel 323,AssetModel starter record 323,Casey Adams,2020-11-19,2021-11-19,1,1,1,2026-08-24T00:00:00.000
324,AM000324,92,4,2,Quartz AssetModel 324,AssetModel starter record 324,Riley Chen,2020-11-20,2021-11-20,1,1,1,2026-08-24T00:00:00.000
325,AM000325,86,2,3,Granite AssetModel 325,AssetModel starter record 325,Quinn Evans,2020-11-21,2021-11-21,0,1,1,2026-08-24T00:00:00.000
326,AM000326,111,6,2,Keystone AssetModel 326,AssetModel starter record 326,Quinn Martin,2020-11-22,2021-11-22,1,1,1,2026-08-24T00:00:00.000
327,AM000327,160,2,3,Ion AssetModel 327,AssetModel starter record 327,Taylor Khan,2020-11-23,2021-11-23,1,1,1,2026-08-24T00:00:00.000
328,AM000328,266,3,3,Pioneer AssetModel 328,AssetModel starter record 328,Blair Evans,2020-11-24,2021-11-24,1,1,1,2026-08-24T00:00:00.000
329,AM000329,458,2,4,Liberty AssetModel 329,AssetModel starter record 329,Riley Reed,2020-11-25,2021-11-25,1,1,1,2026-08-24T00:00:00.000
330,AM000330,50,6,4,Forge AssetModel 330,AssetModel starter record 330,Morgan Garcia,2020-11-26,2021-11-26,0,1,1,2026-08-24T00:00:00.000
331,AM000331,255,3,2,Pioneer AssetModel 331,AssetModel starter record 331,Devon Reed,2020-11-27,2021-11-27,1,1,1,2026-08-24T00:00:00.000
332,AM000332,472,2,3,Junction AssetModel 332,AssetModel starter record 332,Jordan Reed,2020-11-28,2021-11-28,1,1,1,2026-08-24T00:00:00.000
333,AM000333,262,5,3,Keystone AssetModel 333,AssetModel starter record 333,Morgan Chen,2020-11-29,2021-11-29,1,1,1,2026-08-24T00:00:00.000
334,AM000334,68,7,3,Cedar AssetModel 334,AssetModel starter record 334,Finley Adams,2020-11-30,2021-11-30,1,1,1,2026-08-24T00:00:00.000
335,AM000335,380,7,2,Quartz AssetModel 335,AssetModel starter record 335,Finley Adams,2020-12-01,2021-12-01,0,1,1,2026-08-24T00:00:00.000
336,AM000336,36,1,1,Forge AssetModel 336,AssetModel starter record 336,Jordan Khan,2020-12-02,2021-12-02,1,1,1,2026-08-24T00:00:00.000
337,AM000337,67,2,3,Atlas AssetModel 337,AssetModel starter record 337,Taylor Hughes,2020-12-03,2021-12-03,1,1,1,2026-08-24T00:00:00.000
338,AM000338,267,6,3,Titan AssetModel 338,AssetModel starter record 338,Blair Khan,2020-12-04,2021-12-04,1,1,1,2026-08-24T00:00:00.000
339,AM000339,288,2,4,Vertex AssetModel 339,AssetModel starter record 339,Taylor Martin,2020-12-05,2021-12-05,1,1,1,2026-08-24T00:00:00.000
340,AM000340,296,5,3,Zenith AssetModel 340,AssetModel starter record 340,Casey Evans,2020-12-06,2021-12-06,0,1,1,2026-08-24T00:00:00.000
341,AM000341,236,4,2,Keystone AssetModel 341,AssetModel starter record 341,Morgan Garcia,2020-12-07,2021-12-07,1,1,1,2026-08-24T00:00:00.000
342,AM000342,199,2,1,Harbor AssetModel 342,AssetModel starter record 342,Taylor Evans,2020-12-08,2021-12-08,1,1,1,2026-08-24T00:00:00.000
343,AM000343,146,4,2,Meridian AssetModel 343,AssetModel starter record 343,Quinn Garcia,2020-12-09,2021-12-09,1,1,1,2026-08-24T00:00:00.000
344,AM000344,425,2,1,Unity AssetModel 344,AssetModel starter record 344,Taylor Chen,2020-12-10,2021-12-10,1,1,1,2026-08-24T00:00:00.000
345,AM000345,211,7,2,Titan AssetModel 345,AssetModel starter record 345,Morgan Diaz,2020-12-11,2021-12-11,0,1,1,2026-08-24T00:00:00.000
346,AM000346,215,4,2,Liberty AssetModel 346,AssetModel starter record 346,Blair Chen,2020-12-12,2021-12-12,1,1,1,2026-08-24T00:00:00.000
347,AM000347,79,5,3,Pioneer AssetModel 347,AssetModel starter record 347,Emerson Hughes,2020-12-13,2021-12-13,1,1,1,2026-08-24T00:00:00.000
348,AM000348,24,5,2,Beacon AssetModel 348,AssetModel starter record 348,Riley Evans,2020-12-14,2021-12-14,1,1,1,2026-08-24T00:00:00.000
349,AM000349,391,2,2,Liberty AssetModel 349,AssetModel starter record 349,Riley Chen,2020-12-15,2021-12-15,1,1,1,2026-08-24T00:00:00.000
350,AM000350,218,2,2,Delta AssetModel 350,AssetModel starter record 350,Taylor Reed,2020-12-16,2021-12-16,0,1,1,2026-08-24T00:00:00.000
